stage,axial,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,ionocyte,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,2,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0.82,6.57,0.82,0,2.46,0,0,2.46,0.82
 36-46,0,0.81,0,1.61,0,1.61,0,0,0,3.22,0,22.56,0,0.81,0,0,0,5.64,0
 48-58,0,0,0,1.72,0,0.57,0,0.57,0,1.15,0,4.02,0,0,1.15,0,0,0,0.57
 60-70,0,0,0,5.89,0,0.98,0,0,0,1.96,0.98,2.94,0,0,0,0,0,1.96,0
 72-82,0,0,0.98,2.94,0.98,0,0.98,0,0,0,0,9.82,0,0.98,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,1.06,1.06,6.37,0,0,0,0,0,0,1.06
 96-106,0,0,0,2.19,0,0,0,0,0,0,1.09,3.28,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0,0,0.77,0,0,1.53,0,0,0,0,0,0,0
120,0,0,0,3.92,0,0,0,0,0,0,0,5.88,1.96,0,0,0,0,0,0
