stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,0,0,1,0,0,1,3,1,0,3,28,0,0,0,0,0
 24-34,0,0,0.82,3.28,0,0,4.1,0,0.82,0,1.64,0,0,0.82,0,0,0,0.82,0,0.82,2.46,0.82,0,1.64,467.89,0,0.82,1.64,0,0,3.28,0,0,0,1.64,97.68,0,0,0,0,0
 36-46,0,0,0,0.81,0.81,0,20.14,0.81,0.81,0.81,4.03,0.81,0,0,0,0,0,0,0,0,11.28,0,0,3.22,1380.11,0.81,0,1.61,0,0,4.83,0,0,0,0,151.47,0,0,1.61,0,0.81
 48-58,0,0.57,0,10.9,0,0,251.33,0.57,2.3,1.72,21.8,0,0,0.57,0,0,0.57,0,1.15,0.57,29.26,0,1.72,1.72,1943.48,1.72,1.15,1.72,0,0,3.44,0,0,1.15,0,179.6,0,0.57,1.72,0,1.72
 60-70,0,0,0,5.89,0.98,0,516.28,0,1.96,0.98,19.63,0.98,0.98,0,2.94,0.98,3.93,0.98,0,0.98,46.13,0,0,6.87,2347.8,0,0.98,2.94,0,0,6.87,0,0.98,0,0,162.93,0,0.98,1.96,0.98,5.89
 72-82,0,0,0,18.65,13.74,0,633.17,0,2.94,4.91,52.03,1.96,0,0,4.91,0.98,2.94,0.98,1.96,0.98,91.29,0.98,3.93,7.85,2383.47,0,3.93,6.87,0,0.98,6.87,0,0,0,0,97.18,0.98,1.96,6.87,2.94,6.87
 84-94,0,1.06,0,43.54,10.62,1.06,424.81,2.12,1.06,0,61.6,3.19,1.06,1.06,8.5,0,3.19,0,1.06,3.19,54.16,0,3.19,9.56,1299.93,0,1.06,3.19,0,0,11.68,0,0,0,0,56.29,1.06,6.37,3.19,3.19,2.12
 96-106,0,1.09,0,30.6,10.93,0,384.68,3.28,1.09,3.28,63.39,5.46,0,0,8.74,0,1.09,3.28,5.46,1.09,69.94,2.19,1.09,3.28,1159.51,2.19,1.09,6.56,0,3.28,26.23,0,0,0,0,34.97,0,1.09,6.56,2.19,3.28
108-118,0,0,0,19.92,6.13,2.3,289.53,0.77,0.77,3.06,40.6,4.6,0,0,4.6,0.77,0.77,0.77,3.06,0,32.17,0.77,0.77,3.83,1306.73,1.53,3.83,3.83,0,1.53,3.83,0,0,0.77,0,16.09,5.36,0.77,3.83,1.53,2.3
120,0,0,0,39.2,13.72,1.96,305.73,0,0,0,29.4,3.92,0,0,11.76,0,1.96,1.96,9.8,0,52.91,0,0,3.92,1973.5,0,3.92,7.84,0,0,13.72,0,0,0,0,19.6,0,5.88,5.88,5.88,0
