stage,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,5,0,0,0,1,0,1,0,15,0,0,1,1,0,3,3,1,0
 24-34,0,0.82,0,0,0,0,0,1.64,0.82,10.67,0,0.82,0,0,0,0,4.1,0,0
 36-46,0,0,4.03,0,0.81,0,0,0.81,0.81,9.67,0,0.81,0,0,0,0,3.22,0,0
 48-58,0,0,5.74,0,0,0.57,0,4.02,0.57,4.59,0,0.57,0,0,0,0,1.72,0,0
 60-70,0,0,11.78,0,0,0.98,0,3.93,0,6.87,0,0,0,0,0,0,0,0,0
 72-82,0,0,6.87,0,0.98,0.98,0.98,6.87,1.96,3.93,0,0,0,0,0.98,0,0.98,0,0
 84-94,1.06,0,5.31,1.06,1.06,0,0,3.19,0,2.12,0,1.06,0,0,0,0,0,1.06,1.06
 96-106,0,2.19,3.28,0,1.09,1.09,0,3.28,1.09,6.56,1.09,0,0,0,0,0,0,1.09,0
108-118,0,0.77,3.83,0,0,0.77,0,2.3,0,3.83,0,0,0,0,0,0,0,0.77,0
120,0,0,7.84,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0
