stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,0,0,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.19,0,0,0,18.4,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,12.59,0,0,0,59.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.08,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,25,14,1,0,4,0,0,0,40,2,4,0,0,0,0,3,45,0,17,231,0,0,1,0,0,0,0,2,14,2,134,0,0,0,0
 24-34,0,0,9.85,2.46,0,0,3.28,0,0.82,0,36.94,0.82,5.75,0,0,0,0,3.28,27.91,1.64,5.75,552.44,0.82,0,0,0,2.46,0,0.82,0,2.46,0,136.26,0,1.64,0,0
 36-46,0,0,1.61,2.42,0.81,0,14.5,0,0,0,173.22,2.42,4.03,0,0,0,0,3.22,15.31,3.22,1.61,1521.91,0.81,2.42,0,0,1.61,0,0,0,0.81,0,156.3,0,0.81,0,0
 48-58,0,0,0,6.89,0.57,0,70,1.15,0,0.57,504.95,0,2.3,1.15,0,0.57,0,6.31,15.49,3.44,4.02,1419.59,0.57,2.87,1.15,0,4.59,1.15,0,0,0.57,0,339.69,0,0.57,0,0.57
 60-70,0,0.98,0,0,0.98,0,32.39,0.98,0,0,360.22,0,0.98,0,0,1.96,0.98,8.83,6.87,5.89,0,394.57,0,0.98,0,0,1.96,0.98,0,0,0.98,0,195.32,0.98,0,0,1.96
 72-82,0,1.96,0,1.96,0,0,58.9,0,0,0,267.01,0,0,0.98,0,0.98,0,37.3,19.63,4.91,0.98,215.97,0,0,4.91,0,2.94,1.96,0,0,0,0,65.77,0.98,0,0.98,0.98
 84-94,0,1.06,0,0,0,0,69.03,0,0,0,179.48,1.06,0,0,0,0,0,118.95,16.99,11.68,1.06,116.82,0,1.06,2.12,0,4.25,0,0,0,0,0,55.23,0,0,1.06,0
 96-106,0,4.37,0,0,2.19,0,74.31,0,2.19,4.37,143.16,4.37,0,2.19,1.09,0,0,108.19,12.02,9.84,0,119.12,0,3.28,1.09,0,7.65,3.28,0,0,0,0,34.97,1.09,0,1.09,0
108-118,0,1.53,0,3.06,0,1.53,54.38,0,0,0.77,160.09,2.3,0,1.53,0,0.77,0.77,186.13,9.19,9.96,0,107.23,0,6.13,1.53,0,3.06,0.77,0,0,0,0,17.62,0,0.77,1.53,0
120,0,0,0,3.92,1.96,1.96,37.24,1.96,1.96,0,101.91,1.96,1.96,0,0,0,0,86.23,11.76,3.92,1.96,113.67,1.96,1.96,0,0,9.8,0,0,0,0,0,19.6,0,0,0,0
