stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,224.02,3597.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0,0
  5-6,373.91,2715.43,0,24.52,0,0,0,0,0,0,0,0,0,55.17,0,0,0,0,0,0,0,0,0,0,294.22,0,0,0,49.04,79.69,0,0,0,0,0,0,0,0,0,0
  7-9,34.17,15.77,0,147.21,0,0,0,44.69,0,0,0,0,0,126.18,0,0,0,0,0,0,0,0,0,0,415.34,5.26,0,0,160.35,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,6.29,0,31.47,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,141.61,3.15,0,0,44.06,0,0,0,6.29,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,18,1,0,16,0,0,0,3,1,1,1,3,0,0,4,2,10,0,0,7,108,1,1,0,1,1,0,10,1,28,34,0,0,1,0,0
 24-34,0,0,0,0.82,4.1,1.64,0,9.85,0,0.82,0,0.82,0,0.82,0.82,4.93,0,0,2.46,0.82,8.21,0,0.82,3.28,121.49,0,0.82,0,0,4.93,0,0,0,1.64,30.37,0,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,0,22.56,0,1.61,0.81,7.25,0,5.64,0,14.5,0,0.81,0,0,10.47,0,0,2.42,116.02,0,0,0,0,0.81,0.81,0,0.81,0,33.03,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,43.61,0.57,0,0.57,5.74,0,8.03,0,17.21,0,0.57,0,0.57,9.75,0,0,2.87,88.94,0.57,0.57,0,0,0.57,0,0,0,0,17.79,0,0.57,1.72,0,0.57
 60-70,0,0,0,0,0,0,0,43.19,0,0,0.98,4.91,0,0.98,0,14.72,0.98,0,0,0.98,15.7,0,0,0,66.74,0,0,1.96,0,0.98,0,0,0.98,0,10.8,0,0,2.94,0,0
 72-82,0,0,0.98,0,0.98,1.96,0,27.49,0,0.98,1.96,2.94,0,4.91,0.98,23.56,0,1.96,0,0.98,12.76,0,0,1.96,54.97,0,0,0,0,1.96,0,0,0,0,5.89,0,0,0.98,0.98,0
 84-94,0,0,0,0,2.12,0,0,18.05,0,1.06,2.12,2.12,0,11.68,0,48.85,0,0,0,1.06,3.19,0,2.12,1.06,18.05,0,0,5.31,0,6.37,0,0,0,0,2.12,0,0,1.06,0,1.06
 96-106,0,0,0,0,0,0,0,8.74,0,0,0,6.56,0,2.19,0,46.99,1.09,3.28,1.09,0,6.56,3.28,1.09,5.46,29.51,1.09,0,2.19,0,4.37,0,0,0,0,1.09,1.09,0,2.19,1.09,1.09
108-118,0,0,0,0,3.83,0.77,0.77,14.55,0,0.77,3.06,4.6,0.77,0,0,63.57,0,2.3,0,1.53,9.19,0,1.53,0,37.53,0,0,3.06,0,6.89,0,0,0,0,0.77,0,0.77,3.83,0.77,2.3
120,0,0,1.96,0,7.84,1.96,0,7.84,0,1.96,5.88,3.92,0,0,0,58.79,0,0,0,1.96,7.84,1.96,1.96,0,33.32,0,0,0,0,9.8,0,0,0,0,0,0,0,1.96,1.96,1.96
