stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,318.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,15.73,0,0,3.15,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,12,0,0,4,0,0,1,1,0,0,0,1,0,0,0,4,0,0,4,31,0,0,0,1,0,1,0,4,0,0,6,12,0,0,1,0,0
 24-34,0,0,0,0,4.93,0.82,0,9.03,2.46,0,4.1,0,0,1.64,0,0,0,0,0.82,22.16,0,0,11.49,153.5,3.28,0,0.82,0,0,1.64,0,0,0,0.82,0.82,45.97,0,0,4.1,0,0
 36-46,0,0,0,0,2.42,0,0,15.31,0,1.61,1.61,0,0,0,0,0,0,0.81,0,27.39,0,0.81,6.45,227.2,0.81,1.61,0,0,0,0.81,0,0,0,0,0,48.34,0,0,1.61,0,0
 48-58,0,0,0,0,2.3,0,0,42.46,1.72,1.72,4.59,0,0,0,0.57,0,0,0,0,24.67,0,1.15,6.31,241.57,0,0.57,0.57,0,0,0,0,0,0,0,0,47.63,0,0,3.44,0,0
 60-70,0,0,0,0,0,0,0,49.08,0,0.98,3.93,0,0,0,0,0,0,0.98,0,35.33,0,0.98,1.96,220.84,0.98,0.98,0,0,0.98,0,0,0,0,0.98,0,35.33,0,0.98,1.96,0.98,0
 72-82,0,0,0,0,3.93,0,0,92.28,0.98,2.94,15.71,1.96,0,1.96,0.98,0,0,0,0,63.81,0,0,6.87,299.41,0,1.96,0,0,0,0,0,0,0.98,0,0,43.19,0.98,2.94,0.98,2.94,0
 84-94,0,0,0,0,4.25,0,0,30.8,1.06,2.12,5.31,2.12,0,2.12,0,0,0,0,1.06,26.55,0,3.19,5.31,151.87,1.06,0,2.12,0,1.06,1.06,0,0,0,0,0,22.3,0,2.12,2.12,0,0
 96-106,0,0,1.09,0,5.46,0,0,36.06,4.37,1.09,9.84,0,0,3.28,0,0,0,0,0,32.79,0,1.09,0,118.03,1.09,1.09,0,0,0,0,0,0,0,0,0,9.84,0,2.19,5.46,3.28,1.09
108-118,0,0,0,0,3.83,0.77,0.77,19.15,1.53,0,8.43,0,0,0,1.53,0,0.77,0.77,0.77,27.57,0,0.77,2.3,128.68,0,0.77,1.53,0,0.77,0.77,0,0,0,0,0,7.66,0,0,3.06,0,0
120,0,0,0,0,3.92,0,0,19.6,1.96,0,1.96,0,0,0,0,0,0,1.96,0,19.6,1.96,1.96,5.88,156.78,5.88,0,1.96,0,0,0,0,0,0,0,0,7.84,0,0,0,0,1.96
