stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,18.88,0,0,18.88,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,6,57,7,1,0,0,0,33,17,0,0,0,0,1,0,12,1,0,8,20,16,0,0,2,0,0,11,55,0,26,177,0,0,0,0,1
 24-34,0,0,3.28,0,6.57,0.82,10.67,0,0.82,1.64,33.66,1.64,0,0,0,0,0.82,0.82,15.6,0,0,23.8,49.25,4.1,0,0,0,0,0,0,117.38,0.82,5.75,112.46,0,0,0,0,18.88
 36-46,0,0,0,0,0.81,0,8.86,0,0.81,4.03,15.31,0.81,0,0,0,0,0.81,4.03,24.17,0,0.81,16.92,80.57,0,1.61,0,0,0,0,0,70.9,0,0,46.73,0,0,0,0,36.26
 48-58,0,0,0,0,1.15,0.57,22.38,0,0,8.03,10.9,0.57,1.15,0,1.15,0,1.15,12.62,54.51,0,1.15,18.36,63.69,0.57,0.57,1.15,0,0,1.15,0,42.46,0,0,25.82,0,0,0,0,59.1
 60-70,0,0,0.98,0,0,0.98,65.76,1.96,0,7.85,28.46,4.91,0,0,1.96,0,0,13.74,83.43,0,0,7.85,111.89,0,0,0,0,0,3.93,0,40.24,0,0,17.67,0,1.96,0,0.98,34.35
 72-82,0,0,1.96,0,5.89,0.98,123.69,3.93,0.98,13.74,121.73,6.87,3.93,0.98,1.96,0,0,9.82,161.97,0,5.89,18.65,152.16,0,0.98,0.98,0,1.96,9.82,0,53.99,0,0,11.78,0,10.8,1.96,2.94,45.16
 84-94,0,0,0,0,5.31,2.12,106.2,4.25,0,11.68,63.72,21.24,1.06,0,6.37,1.06,1.06,25.49,100.89,0,1.06,7.43,94.52,0,1.06,2.12,0,3.19,3.19,0,120.01,0,0,15.93,1.06,5.31,3.19,6.37,36.11
 96-106,0,0,3.28,0,7.65,1.09,101.63,2.19,2.19,5.46,95.08,9.84,5.46,6.56,7.65,0,0,19.67,121.31,0,1.09,8.74,93.98,0,0,12.02,0,2.19,8.74,0,110.38,0,0,12.02,3.28,5.46,4.37,6.56,43.71
108-118,0,0,3.06,0,6.89,2.3,74.3,1.53,1.53,6.13,94.21,9.19,0,0,15.32,0,1.53,22.98,99.58,0,0,7.66,147.06,0,2.3,3.06,0,2.3,3.06,0,86.55,0,0,7.66,0.77,1.53,3.83,3.83,50.55
120,0,0,1.96,0,1.96,1.96,70.55,0,0,7.84,41.16,11.76,0,3.92,9.8,0,0,5.88,66.63,1.96,0,9.8,125.43,1.96,1.96,3.92,0,1.96,0,0,68.59,0,0,3.92,1.96,1.96,3.92,5.88,21.56
