stage,blastomeres,eye,glial,gut,lateral.line,mesenchyme,neural,olfactory,otic,periderm,pronephros,spinal.cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0.82,0,0,0,0.82,0.82,0,0,0,0,1.64
 36-46,0,0,0.81,0,0,0,0,0.81,0,0,0.81,0
 48-58,0,0,0,0,0,0,0.57,0.57,0,0,0,0.57
 60-70,0,0,0.98,0,0,0,1.96,1.96,0,0,0,0
 72-82,0,0,1.96,0,0,0,0,1.96,0.98,0,0,1.96
 84-94,0,0,0,1.06,0,0,0,1.06,3.19,0,0,1.06
 96-106,0,0,3.28,0,0,0,2.19,2.19,2.19,1.09,0,1.09
108-118,0,0,0.77,0,2.3,0,0,0.77,2.3,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96
