stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13,1,0,0,0,0,3,1,0
 24-34,0,0,0,0.82,2.46,0,1.64,0,0,0,0,0,0,1.64,1.64,57.46,1.64,0,0,0,1.64,4.1,0,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,0,0,1.61,1.61,177.25,0.81,0,0,0.81,0,4.03,0,0
 48-58,0,0,2.87,0.57,14.35,0,3.44,0,0,0,0,0,0,5.16,0,249.61,1.72,0,0,0.57,0,11.48,0.57,0
 60-70,0,0,0.98,0,25.52,0,0.98,0,0,0,0,0,0.98,5.89,0,339.61,0.98,1.96,0,2.94,0,6.87,0,0.98
 72-82,0,0,3.93,0,25.52,1.96,11.78,0.98,0,0,0,0.98,0,11.78,0,244.43,0.98,2.94,0,0,0,5.89,0,0.98
 84-94,0,1.06,3.19,1.06,20.18,0,11.68,0,0,1.06,1.06,0,0,3.19,0,135.94,0,5.31,0,0,1.06,7.43,0,0
 96-106,0,0,1.09,0,13.11,0,5.46,0,0,0,0,0,0,6.56,0,124.58,1.09,10.93,0,0,1.09,1.09,0,1.09
108-118,0,0,2.3,0,16.09,0,3.06,0,0,0,0,0,0,4.6,0.77,150.89,0,10.72,0,0.77,0,0,0,0
120,0,0,1.96,0,9.8,0,5.88,0,0,0,0,0,0,0,0,205.78,0,5.88,0,0,0,1.96,0,0
