stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,4.93,0,13.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0,0,7.39,0.82,0,0,0.82,0,0
 36-46,0,3.22,0,30.62,0,0,0,0,0,0.81,0,0,0,0,0,3.22,0,0,10.47,0,0,0,0,0,0,0,6.45,1.61,0,0,0.81,0,0
 48-58,0,1.15,0,79.76,1.15,0,0,1.15,0,0.57,0,0,1.15,0,0,0.57,0,1.15,10.9,0.57,0,0,0,0,1.15,0,15.49,2.3,0,0.57,0.57,0,0
 60-70,0,2.94,0,321.94,3.93,0,0,0.98,0,0,0,0.98,0,0,0,4.91,0.98,0.98,9.82,0,0,0.98,0,0,0,0,19.63,0,0,0.98,0,0,0
 72-82,0,5.89,0,491.81,12.76,0,0.98,10.8,0,0,0,1.96,1.96,3.93,0.98,11.78,3.93,3.93,29.45,0,0.98,1.96,0,0,0.98,0.98,19.63,0.98,0,0.98,0,1.96,0.98
 84-94,0,4.25,1.06,304.8,21.24,2.12,0,15.93,1.06,0,0,0,1.06,6.37,0,8.5,1.06,3.19,26.55,0,1.06,2.12,0,0,3.19,0,29.74,1.06,0,2.12,2.12,0,0
 96-106,0,7.65,4.37,192.34,27.32,0,0,13.11,2.19,0,0,0,5.46,4.37,0,7.65,4.37,2.19,29.51,0,0,1.09,1.09,1.09,0,1.09,41.53,1.09,0,2.19,1.09,1.09,0
108-118,0,6.89,1.53,130.98,31.4,0,0,13.79,0,0.77,0.77,0,3.06,15.32,0,3.06,3.06,3.83,23.74,0,0.77,3.06,0,3.83,0,0,31.4,0,0.77,0,2.3,0,0.77
120,0,1.96,0,109.75,19.6,3.92,1.96,15.68,0,1.96,1.96,0,0,3.92,0,1.96,0,1.96,37.24,0,0,1.96,0,5.88,0,1.96,11.76,0,1.96,0,0,1.96,0
