stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,1634.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,386.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,2.63,0,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,76.23,2.63,0,0,21.03,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,28.32,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.2,0,0,0,15.73,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,2,2,24,1,0,24,0,0,0,3,0,0,0,0,2,0,0,2,5,9,0,0,6,95,4,1,2,1,0,2,3,1,2,8,36,0,0,7,0,2
 24-34,0.82,0,0.82,0.82,10.67,4.1,0,43.51,0,4.1,0,4.93,0.82,0.82,0,4.1,4.1,0.82,1.64,4.1,15.6,22.16,0,0,7.39,134.62,3.28,4.1,4.1,0,0,10.67,0,0,8.21,0.82,30.37,0,0,18.06,0,14.78
 36-46,0,0,0,0,3.22,0.81,0,23.36,0,0.81,0.81,13.7,1.61,0.81,0,2.42,0.81,3.22,0,0,18.53,21.75,0,1.61,3.22,111.18,1.61,4.83,2.42,0,0,14.5,0,0,3.22,0,34.64,0,0,20.95,0,9.67
 48-58,0,0,0,0,3.44,0,0,39.02,0,1.15,0,20.66,1.15,0.57,1.15,2.3,0.57,1.72,1.72,0,16.07,35,0.57,0.57,5.74,60.25,1.72,1.72,3.44,0,0,6.31,0,0,2.3,0,17.21,0,0,21.23,0,14.35
 60-70,0,0,0.98,0,5.89,0,0,51.04,0,3.93,0.98,51.04,0,0.98,0,7.85,2.94,8.83,0,0.98,11.78,77.54,1.96,2.94,5.89,69.69,0,3.93,2.94,0,1.96,21.59,0.98,0,3.93,0,15.7,0.98,0.98,19.63,0,8.83
 72-82,0,0,2.94,0,9.82,0.98,0,48.1,0.98,2.94,1.96,45.16,7.85,0.98,4.91,11.78,4.91,6.87,2.94,1.96,8.83,127.62,4.91,2.94,9.82,67.73,0,3.93,5.89,0,0,38.28,0.98,0,9.82,0,7.85,0,1.96,31.41,2.94,4.91
 84-94,0,0,4.25,0,23.36,8.5,0,61.6,0,2.12,4.25,43.54,13.81,2.12,1.06,20.18,3.19,12.74,1.06,2.12,21.24,72.22,6.37,1.06,7.43,57.35,1.06,4.25,9.56,0,0,116.82,0,0,13.81,0,2.12,3.19,2.12,40.36,3.19,11.68
 96-106,0,0,4.37,0,28.41,2.19,1.09,54.64,0,3.28,2.19,33.88,25.14,0,1.09,39.34,6.56,15.3,4.37,1.09,6.56,111.47,5.46,3.28,5.46,46.99,3.28,14.21,6.56,0,3.28,148.63,0,0,7.65,0,6.56,4.37,3.28,42.62,3.28,12.02
108-118,0,0,0.77,0,32.94,1.53,0,62.04,0,7.66,1.53,29.87,13.79,0,1.53,22.21,7.66,17.62,1.53,1.53,9.96,76.6,6.13,2.3,5.36,41.36,1.53,6.13,11.49,0,2.3,78.89,0,0,5.36,0,3.06,3.06,3.06,33.7,2.3,13.02
120,0,0,0,0,31.36,3.92,0,23.52,0,5.88,0,11.76,27.44,1.96,0,33.32,7.84,7.84,3.92,0,5.88,72.51,3.92,3.92,1.96,35.28,0,11.76,0,0,1.96,117.59,0,0,7.84,0,0,0,3.92,21.56,0,3.92
