stage,epidermis,erythrocytes,eye,glial,lateral.line,liver,mesenchyme,mucous,muscle,neural,otic,somites,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,5,0,1,2,0
 24-34,0,0,2.46,0,0,0,3.28,0,0,24.63,0,0,2.46,0
 36-46,0,0.81,8.86,0.81,0,0,0.81,0,0.81,13.7,0,0,4.03,0
 48-58,0.57,0,12.05,0.57,0,0,0.57,0,0,4.02,0,0,1.15,0.57
 60-70,0,0,9.82,1.96,0.98,0,0,0.98,0.98,5.89,0,0,0,0
 72-82,0,0,2.94,0.98,0.98,0,2.94,0,0,4.91,0,0,0,0
 84-94,0,0,0,0,0,0,2.12,0,0,0,1.06,0,0,0
 96-106,0,0,1.09,1.09,0,0,0,0,0,2.19,0,0,0,0
108-118,0.77,0.77,2.3,0,0,0.77,0,0,0,0.77,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0
