stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,0,0,0,4,0,4,0,0,0,0,0
 24-34,0,0,0,0,0.82,0.82,2.46,0.82,0,2.46,0,0,0,0,0,0.82,0,0,2.46,32.01,0.82,0.82,0.82,0,0.82,0,0.82,7.39,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,6.45,0.81,0,0,0,0,0,0,0,5.64,0,0,0.81,24.17,0,0.81,0.81,0,0,0,0,8.06,0,0,0,0,0
 48-58,0,0,0,0,0,0,8.61,0,0,1.72,0,0,0,0,0.57,0,0,0.57,0.57,17.21,0,1.15,0,0,0.57,0,0,5.16,0,0,1.15,0,0
 60-70,0,0,0,0,0,0,9.82,0.98,0,0.98,0,0,0,0,0,1.96,0,0,0,13.74,0,0.98,0,0,0.98,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,5.89,0,0.98,5.89,0,0,0,0.98,0,0.98,0,0,0.98,15.71,0,1.96,0,0,0.98,0,0,0.98,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,7.43,0,0,0,0,1.06,0,0,0,2.12,0,0,0,4.25,0,1.06,2.12,0,1.06,0,0,0,1.06,0,1.06,0,0
 96-106,0,0,0,0,0,0,3.28,0,0,4.37,0,0,1.09,0,0,2.19,1.09,0,0,3.28,0,2.19,0,0,1.09,0,0,1.09,0,1.09,0,1.09,0
108-118,0,0,0,0,1.53,0,2.3,0,0,0,1.53,0.77,0,0,0,6.89,0,0,0,6.89,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,5.88,1.96,0,0,0,1.96,0,0,0,0,0,3.92,0,0,1.96,11.76,0,0,0,0,5.88,0,0,0,1.96,0,0,0,0
