stage,axial,blastomeres,endoderm,erythrocytes,eye,fast_muscle,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord
  3-4,39.53,632.54,0,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,49.04,796.85,6.13,0,0,0,0,12.26,0,6.13,0,0,0,0,0
  7-9,23.66,36.8,76.23,0,73.6,0,26.29,770.21,31.54,297.04,2.63,10.51,0,0,0
 10-12,0,25.18,34.62,3.15,69.23,0,9.44,660.86,25.18,236.02,3.15,9.44,37.76,3.15,0
 24-34,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,0,0.57,0,0,0,0,0,0,0.57
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0
