stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0
  5-6,18.39,337.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,2.63,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,81.49,0,0,0,31.54,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,15.73,0,0,9.44,0,0,0,0,0,0
 14-21,0,1,0,0,35,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,13,0,1,0,1,0,2,0,0,2,0,8,0,0
 24-34,0,0,0,1.64,2.46,0,1.64,0,0,0,1.64,0,0,0,0,0.82,0,0,3.28,0,0,1.64,17.24,0,0.82,0,0,0,0,0,0,4.93,0,34.48,0,0
 36-46,0,0,0,0.81,0.81,0,1.61,0,0,0,0.81,0,0,0,0,0,0,0,3.22,0.81,0,0.81,18.53,0,0,0,0,0,0,0,0,1.61,0,49.15,0,0
 48-58,0,0,0,0,0,0,4.59,0,0,1.15,4.59,0,0,0,0,0.57,0,0,6.89,0,1.15,1.72,10.33,0,0,0.57,0,1.72,0,0,1.15,3.44,0,44.76,0,0.57
 60-70,0,0,0,0.98,0,0,8.83,0.98,0,0.98,7.85,0.98,0,0,0,0,0,0,7.85,0,0.98,0.98,24.54,0,0.98,0,0,0.98,0,0,0,5.89,0,31.41,0,0
 72-82,0,0,0,0,0,0,5.89,0.98,0,1.96,11.78,0,0,0,0,0.98,0,0.98,19.63,0,0.98,0,30.43,0,0,0.98,0,0,0,0,0,3.93,0.98,49.08,2.94,0.98
 84-94,0,0,0,1.06,0,0,3.19,1.06,0,1.06,4.25,0,0,0,2.12,1.06,1.06,0,9.56,0,0,1.06,13.81,0,0,0,0,1.06,0,0,0,3.19,0,50.98,1.06,1.06
 96-106,0,0,0,0,1.09,1.09,4.37,0,0,0,2.19,0,0,0,1.09,0,0,0,9.84,0,2.19,3.28,13.11,1.09,0,0,0,0,0,0,0,0,0,48.09,1.09,0
108-118,0,0,0,1.53,1.53,0,3.83,1.53,1.53,0,3.06,0,0,0,0,0,0,0,9.19,0,0.77,0.77,16.09,0,0,0.77,0,0,0,0,0,0,0,32.94,2.3,0
120,0,0,0,1.96,0,0,5.88,0,0,0,3.92,0,0,0,3.92,0,0,0,3.92,0,1.96,1.96,7.84,0,0,0,0,1.96,0,0,0,0,0,52.91,0,0
