stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,0,36.8,0,0,0,28.92,0,0,0,0,0,0,220.81,7.89,0,97.26,0,0,0,0,0,0,0
 10-12,12.59,9.44,0,0,31.47,0,0,0,12.59,0,0,0,0,0,0,195.11,9.44,0,88.12,0,3.15,6.29,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0
 24-34,0,0,1.64,0.82,2.46,0,0,0,0,0,0.82,0,1.64,0,0,22.16,0,0,0,0,0,0,4.1,0,1.64,0
 36-46,0,0,0.81,0.81,13.7,0,3.22,0,0,0,2.42,0,3.22,0.81,0.81,107.15,0,1.61,0,2.42,0,0,29.81,0,1.61,0
 48-58,0,0,1.15,0,10.33,0,0.57,0,0,0,0.57,0,0,0,0,26.4,0,0.57,0,0,0,0,4.59,0,0,0
 60-70,0,0,0,0,5.89,0,0,0,0,0,5.89,0,1.96,0,0,10.8,0,0,0,0.98,0,0,0.98,0,0,0
 72-82,0,0,0,0,7.85,0,5.89,0,0,0,13.74,0,2.94,0,0,19.63,0,1.96,0,0.98,0,0,0,0,0,0
 84-94,0,0,1.06,0,10.62,1.06,0,1.06,0,0,9.56,0,2.12,0,1.06,15.93,0,0,0,1.06,0,0,1.06,1.06,1.06,0
 96-106,0,0,0,1.09,5.46,0,4.37,1.09,0,1.09,29.51,0,1.09,0,1.09,17.49,0,1.09,0,5.46,0,0,0,0,1.09,0
108-118,0,0,1.53,0,2.3,0,0,0,0,0,11.49,0.77,0.77,0,0,3.06,0,0.77,0,0.77,0,0,0,0,0,0.77
120,0,0,1.96,0,1.96,0,1.96,0,0,0,13.72,0,1.96,1.96,0,9.8,0,0,1.96,3.92,0,0,1.96,0,0,0
