stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,hatching_gland,ionocyte,lateral_line,mesenchyme,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,13.14,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,16.42,0.82,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,13.7,0,0,0,0,0,0
 48-58,0,0,0.57,4.59,0,0.57,0.57,0,0,6.89,0,0,0,0,0.57,0.57
 60-70,0,0,0,8.83,0.98,0,0,0,0,6.87,0.98,0,0,0,0.98,0
 72-82,0,0,0,4.91,0.98,0,0,0,0.98,3.93,0,0,0,0,0,0
 84-94,0,1.06,0,3.19,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,0,1.09,3.28,0,0,0,0,0,0
108-118,0,0,0,1.53,0.77,0,0,0.77,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,3.92,1.96,0,0,0,0,0
