stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,2.46,0.82,4.93,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,1.61,0,0,0,11.28,0,0,0,0.81,0,4.83,0,0,0
 48-58,0,0,0,0,0,4.02,0,0,0,0,0,0,0,1.15,0,0.57,0.57,13.77,0,0.57,0,0,0,2.87,0,0,0
 60-70,0,0,0,0,0,23.56,0,0,0.98,0,0,0,0,0.98,0,0.98,0,26.5,0,0,0,0.98,0,8.83,0,0,0
 72-82,0,0,0,0,0,53.01,0,0.98,0,4.91,0,0.98,0,2.94,0,2.94,0,55.95,0,0.98,0,0,0,1.96,0,0,0.98
 84-94,0,1.06,0,1.06,0,37.17,1.06,0,0,4.25,0,0,0,1.06,0,2.12,0,40.36,0,0,0,4.25,0,7.43,0,1.06,0
 96-106,0,0,0,0,0,56.83,0,0,0,1.09,0,0,0,4.37,1.09,4.37,0,45.9,1.09,0,0,3.28,0,2.19,0,0,1.09
108-118,0,0.77,0,2.3,0.77,41.36,0,0,0,3.83,0,0,0.77,0,2.3,2.3,0,27.57,0,0,0,13.02,0,1.53,0.77,0.77,0
120,0,0,0,0,3.92,50.95,0,0,0,9.8,0,0,0,1.96,3.92,1.96,0,48.99,0,0,0,3.92,0,5.88,0,0,0
