stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,26.36,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,52.57,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,18.88,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,6,2,1,0,0,1,0,0,0,0,0,0,0,2,32,0,0,1,1,0,0,2,0,1,9,0,0
 24-34,0,0,0,0,0,4.1,0,0,0,0,0,0,0.82,0,4.1,0,0,27.91,0,0,1.64,0,0,0,0,0,0,5.75,0,0
 36-46,0,0,0,0,0,7.25,0,0,0.81,0,0,0,0,0,3.22,0.81,0.81,23.36,0,0.81,0.81,0,0.81,0,0,0.81,0,4.83,1.61,0
 48-58,0,0,0,0.57,0,10.33,0.57,0,1.15,0,0,0,0.57,0.57,4.59,0,0.57,7.46,0,0,0,0,0,0,0,0,0,2.87,0,0
 60-70,0,0,0,3.93,0,7.85,0,0.98,1.96,0,0.98,0,0,0,3.93,0,0,4.91,0,0,0,0,0,0,0,0,0,2.94,0.98,0
 72-82,0,0,0,0,0.98,2.94,0,0,2.94,0,0,0.98,0,0,3.93,0,1.96,5.89,0.98,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,7.43,0,0,1.06,0,0,0,0,0,4.25,1.06,0,8.5,0,0,0,0,0,0,0,0,0,1.06,2.12,1.06
 96-106,0,0,0,1.09,0,6.56,0,0,5.46,0,1.09,0,0,0,4.37,0,0,5.46,0,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0.77,0,0,4.6,0,0,0,0,0,0,1.53,0,0.77,0,0,3.83,0.77,0.77,0.77,0,0.77,0,0,0,0,0.77,0,0
120,0,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0,1.96,0,0,5.88,0,0,1.96,0,0,0,0,0,0,0,0,0
