stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,0,12,0,0,0,0,0
 24-34,0,2.46,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,3.28,189.62,0,1.64,0,0,0,0,61.56,0,0,0,0,0
 36-46,0,1.61,0,0,12.09,0,0,0,2.42,0,0,0,0,0,0,0,1.61,0,0,4.03,332.74,0,0.81,0,0,0,0,81.37,0,0,0,0,0
 48-58,0,0,2.3,0,53.94,0,0,0,2.3,0,0,0,0,0,0,0,3.44,0.57,0,2.3,366.66,0.57,1.15,0.57,0,0.57,0,83.78,0,0,1.15,0,0
 60-70,0,0,0.98,0,173.73,0,0,0,3.93,0,0,0,0,0,0,0,1.96,0,0,0.98,549.65,0,0.98,0,0,0.98,0,99.13,0,0,0.98,0,0
 72-82,0,0.98,1.96,0.98,334.75,0,0,0,24.54,0.98,0,1.96,0,0,1.96,0,10.8,0,0,4.91,553.66,0,4.91,0,0,0,0,53.01,0,0,2.94,1.96,0.98
 84-94,0,0,4.25,0,201.79,0,0,0,19.12,1.06,0,1.06,0,1.06,0,0,10.62,0,0,0,297.37,0,7.43,0,0,1.06,1.06,30.8,1.06,1.06,0,4.25,0
 96-106,0,0,4.37,1.09,183.6,0,0,1.09,16.39,0,0,0,0,0,1.09,0,5.46,0,1.09,5.46,197.81,0,5.46,0,0,1.09,0,12.02,0,0,4.37,8.74,3.28
108-118,0,0.77,3.06,0.77,147.06,0.77,0.77,1.53,19.15,0.77,0,0.77,0.77,0,0,0,8.43,0,0,0,243.58,0,6.89,0,0,2.3,0.77,9.96,0.77,0,3.83,3.06,0
120,0,0,1.96,0,168.54,0,1.96,0,11.76,0,0,0,0,1.96,0,1.96,3.92,0,0,3.92,333.16,1.96,5.88,0,1.96,1.96,0,23.52,0,0,1.96,3.92,0
