stage,blastomeres,epidermis,eye,glial,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,neural,notochord,olfactory,otic,pericytes,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,7,0,0,0,0,0,3,4,0,0,2,0,6,23,0,0,0
 24-34,0,0,0,6.57,0,0,0,0,0,0,2.46,0,0,0,0,4.1,9.03,0,0,0
 36-46,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81,8.86,0,0,0
 48-58,0,0,0.57,2.87,0.57,0,0,0,0,0.57,1.15,0.57,0.57,0,0,0.57,5.16,0,0,0.57
 60-70,0,0,0.98,0.98,0,0,0,0,0,0,0,0,1.96,0,0,0,0.98,0,0,0
 72-82,0,0,4.91,3.93,0,0,0,0,0,0,0.98,0,0,0,0.98,0.98,0.98,0,0.98,0
 84-94,0,0,2.12,2.12,0,0,0,1.06,1.06,0,3.19,0,0,1.06,0,1.06,2.12,0,0,0
 96-106,0,1.09,1.09,2.19,0,0,1.09,0,0,1.09,0,0,2.19,5.46,0,0,0,0,0,0
108-118,0,0,3.06,2.3,0,0,0,0,1.53,0.77,0.77,0,1.53,2.3,0,0,1.53,0.77,0,0
120,0,0,0,0,0,1.96,0,0,0,1.96,3.92,0,0,5.88,0,1.96,1.96,1.96,0,0
