stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,869.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,1054.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,30.65,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.52,2.63,0,0,36.8,0,15.77,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.56,3.15,0,0,28.32,0,9.44,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,108,4,0,5,0,0,0,4,0,1,22,1,0,0,0,4,12,0,0,3,15,8,1,1,1,0,124,0,10,0,3,8,0,0,13,0,14
 24-34,0,0,0,0.82,68.95,9.03,0,9.03,0.82,0.82,0.82,4.1,0.82,0.82,62.39,8.21,3.28,1.64,4.93,15.6,13.13,3.28,0,4.1,29.55,33.66,2.46,1.64,0,0,110.82,0,0,0,2.46,4.1,0,0,41.86,0,82.09
 36-46,0,0,0,0.81,43.51,5.64,0,15.31,7.25,0.81,1.61,2.42,0.81,0.81,107.96,2.42,18.53,1.61,1.61,45.92,12.09,5.64,0,7.25,29.81,23.36,2.42,0,0,0,103.93,0,0,0.81,0,5.64,0,0,56.4,0,108.77
 48-58,0,0,0,0.57,30.99,1.72,0,13.2,4.02,0.57,1.15,0.57,0.57,0,97.55,2.3,31.56,1.15,0.57,29.26,24.67,3.44,0,3.44,16.64,3.44,1.15,1.15,0,0,25.82,0,0,0.57,0,2.87,0,0,35.58,0,52.79
 60-70,0,0,0,0,34.35,6.87,0,10.8,6.87,0.98,1.96,4.91,2.94,0,114.84,0.98,54.97,1.96,0,9.82,28.46,1.96,0,3.93,10.8,5.89,0,0.98,0,0.98,30.43,0,0,0.98,0,0.98,0.98,0,33.37,1.96,44.17
 72-82,0,0,1.96,0,25.52,15.71,0,9.82,3.93,4.91,5.89,25.52,1.96,1.96,151.18,4.91,57.92,0,0,18.65,32.39,3.93,0,0,13.74,0.98,2.94,0.98,0,1.96,28.47,0,0,0.98,0,1.96,0,3.93,47.12,0.98,23.56
 84-94,0,0,2.12,0,56.29,18.05,0,15.93,13.81,0,2.12,50.98,2.12,0,173.11,5.31,73.28,0,2.12,27.61,38.23,3.19,2.12,1.06,10.62,1.06,2.12,1.06,0,0,92.4,0,0,1.06,0,1.06,0,1.06,52.04,4.25,18.05
 96-106,0,0,1.09,0,36.06,17.49,0,16.39,8.74,2.19,21.86,52.46,0,0,204.36,5.46,69.94,1.09,2.19,17.49,56.83,4.37,3.28,3.28,22.95,3.28,7.65,1.09,0,2.19,71.04,0,0,0,0,0,0,3.28,54.64,3.28,26.23
108-118,0,0,0,0,38.3,14.55,0.77,11.49,3.83,4.6,13.02,43.66,0,0.77,167.75,7.66,93.45,0.77,2.3,22.21,55.92,3.06,3.83,2.3,10.72,3.06,1.53,0.77,0,4.6,76.6,0,0,2.3,0,2.3,0.77,0,56.68,0,24.51
120,0,0,0,1.96,47.03,15.68,1.96,7.84,5.88,3.92,7.84,27.44,0,0,203.82,1.96,74.47,1.96,0,9.8,48.99,1.96,3.92,0,29.4,0,5.88,0,0,0,68.59,0,0,0,0,3.92,0,0,47.03,7.84,9.8
