stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,2,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,1,2,0,7,0,0,0
 24-34,0,0,0,3.28,3.28,0,32.83,0,2.46,0,0,0,0,4.1,0.82,0,0,0,0,1.64,0,0,3.28,6.57,3.28,0,0.82,0,0,0,0,0,2.46,0,4.1,2.46,0,0
 36-46,0,0,1.61,4.03,0,0,20.14,0,1.61,0,0,0,0,1.61,0,0,0,0,0,8.06,0.81,0,0.81,12.89,0.81,0.81,0,0,0,0,0,0,0.81,0,7.25,2.42,0,0
 48-58,0,0,2.87,1.15,0,0,26.4,0,2.3,0.57,5.74,0,0,2.87,0,0,0,0.57,0,6.31,0,0,1.15,13.77,0.57,0,0.57,0,0,0,0,0,0,0,4.02,1.72,0,0
 60-70,0,0,0.98,6.87,0,0,75.58,0,0,0.98,17.67,0,0,5.89,0,0,0,0,0,4.91,0,0,3.93,15.7,0,0,0.98,0,0,0,0,0,0,0,4.91,1.96,0,0
 72-82,0,0,5.89,2.94,0,0,264.07,0,0,0.98,44.17,0.98,0,0.98,0,0.98,0.98,0,0.98,17.67,0.98,0.98,2.94,24.54,0,1.96,1.96,0,0,0.98,0,0,0.98,0,7.85,0.98,0.98,0
 84-94,0,0,0,6.37,1.06,0,286.75,0,3.19,1.06,13.81,1.06,0,6.37,1.06,0,2.12,0,0,14.87,0,0,4.25,14.87,1.06,0,0,0,0,3.19,1.06,0,0,0,5.31,1.06,0,0
 96-106,0,0,3.28,4.37,1.09,1.09,339.88,0,1.09,0,25.14,0,0,5.46,0,1.09,0,0,0,17.49,0,0,0,25.14,0,1.09,1.09,0,1.09,3.28,0,0,1.09,1.09,1.09,0,0,0
108-118,0,0,3.83,23.74,0.77,0,288.77,1.53,5.36,0,21.45,0,0,3.06,0.77,0.77,0.77,0,0,7.66,0.77,0,1.53,16.09,0,0,0,0,0,0,0,0,0,0,1.53,0,0,1.53
120,0,0,3.92,15.68,1.96,0,317.49,0,3.92,0,13.72,0,0,9.8,0,0,0,0,0,11.76,0,0,1.96,23.52,0,0,1.96,0,0,1.96,0,0,0,0,0,0,1.96,0
