stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,hatching_gland,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,somites,spinal_cord,vasculature
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,1,5,0,0,2,4,0
 24-34,0,0,0,0,1.64,0,0.82,0,0,0,0.82,0,11.49,0.82,0,1.64,0.82,0.82
 36-46,0,0,0,0,0.81,0,0,0,0,0,1.61,0,5.64,0,0,0,2.42,0
 48-58,0,0,0,0,2.3,0,1.15,0,0,0.57,0,0,8.03,0,0,0,1.15,0
 60-70,0,0,0,0,2.94,0,0,0,0,0,0.98,0,3.93,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,0,0.98,0,0.98,0,1.96,0,0,0,1.96,0
 84-94,0,0,0,0,4.25,0,0,0,0,0,0,0,3.19,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,1.53,0,2.3,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
