stage,blastomeres,eye,fin.mesenchyme,glial,ionocyte,mesenchyme,neural,otic,periderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,1,0,1,0,0,2,0,0,1
 24-34,0,0.82,0.82,0.82,0,0,13.95,0,0,0
 36-46,0,4.83,0,0,0,0.81,14.5,0.81,0,3.22
 48-58,0,13.2,0,1.15,0,0,14.92,0,0,1.15
 60-70,0,16.69,0,0,0,0,13.74,0,0,0
 72-82,0,3.93,0,0.98,0,0,0,0,0,0
 84-94,0,5.31,0,0,1.06,0,4.25,0,2.12,0
 96-106,0,4.37,0,1.09,0,0,5.46,0,0,0
108-118,0,0.77,0,0,0,0,2.3,0,0,0
120,0,3.92,0,0,0,0,0,0,0,0
