stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,12,1,0,0
 24-34,0.82,2.46,0,0,1.64,0,0,1.64,0,0.82,0,2.46,0,0,0,55,0,0,0
 36-46,0,0.81,0,0,0,0,0,5.64,0,0,0,2.42,0,0,0,28.2,0.81,0,0
 48-58,0.57,0,0,0,0,0,0,8.61,2.3,0,0,0.57,0,0,0,16.64,0.57,0,0
 60-70,0.98,0,0,0,0.98,0,0,19.63,1.96,0,0,1.96,0,0,0,20.61,0,0,0
 72-82,13.74,0,0,0.98,0,0,0,49.08,0.98,3.93,0.98,2.94,0,0,0,32.39,0,0,0
 84-94,7.43,1.06,1.06,0,1.06,0,1.06,69.03,2.12,1.06,0,1.06,0,0,0,58.41,0,0,1.06
 96-106,9.84,1.09,0,1.09,0,0,2.19,62.29,1.09,0,0,9.84,0,1.09,0,45.9,0,1.09,0
108-118,5.36,0.77,0.77,0,2.3,0.77,1.53,50.55,0.77,2.3,0,9.19,0.77,0,0,37.53,0,0.77,0
120,7.84,1.96,0,0,0,0,0,33.32,1.96,1.96,0,11.76,0,0,0,17.64,0,3.92,0
