stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,12.31,0,2.46,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0,0,14.5,0,1.61,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,4.59,0,0,0,0,0,0,0,1.15,0,11.48,0,0,0,0,0,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,121.71,0,1.96,0,0,0,0,0,0.98,0.98,16.69,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,242.47,0,15.71,0,0,0,0,0.98,4.91,0,51.05,0,0.98,0.98,0,0,0.98,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,122.13,0,14.87,0,0,1.06,0,0,1.06,0,37.17,0,0,0,0,2.12,1.06,0,0,5.31,1.06,0,0,1.06
 96-106,0,0,3.28,187.97,0,14.21,0,1.09,0,0,0,6.56,0,36.06,0,2.19,0,0,1.09,1.09,0,0,1.09,0,0,0,0
108-118,0,0,0,104.94,0,11.49,0,0.77,0,1.53,0,2.3,0,35.23,0,0,0.77,0.77,0,0,0,0,0.77,0,0,0,0
120,0,0,1.96,80.35,1.96,9.8,1.96,3.92,0,0,0,11.76,0,47.03,0,0,0,0,0,0,0,0,0,0,0,0,0
