stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0.82,4.93,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,2.3,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,4.91,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,7.85,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,6.87,3.93,51.05,21.6,0.98,0.98,0,9.82,2.94,0,0,0.98,1.96,0,0,4.91,0,19.63,0,0.98,3.93,89.33,0.98,0.98,1.96,0,0,7.85,0,0.98,0,2.94,0.98,0,3.93,0.98,0
 84-94,0,0,0,1.06,3.19,109.39,18.05,0,0,0,3.19,0,0,0,2.12,1.06,1.06,0,2.12,0,6.37,0,0,4.25,35.05,1.06,1.06,0,0,0,4.25,0,2.12,0,1.06,0,0,1.06,1.06,1.06
 96-106,0,8.74,1.09,131.14,73.22,302.72,286.33,7.65,14.21,16.39,121.31,43.71,1.09,7.65,39.34,19.67,9.84,12.02,76.5,0,297.25,20.76,22.95,36.06,615.27,9.84,25.14,19.67,1.09,8.74,205.46,2.19,10.93,4.37,28.41,12.02,6.56,56.83,20.76,17.49
108-118,0,6.13,0.77,173.11,64.34,641.11,520.85,11.49,38.3,24.51,185.36,37.53,0,8.43,46.72,16.09,19.15,8.43,74.3,13.79,415.15,16.09,19.15,52.09,1121.37,19.92,19.92,28.34,0,6.13,264.26,0,7.66,6.89,30.64,6.89,7.66,50.55,14.55,40.6
120,1.96,3.92,0,176.38,72.51,293.97,393.92,5.88,35.28,19.6,178.34,39.2,0,1.96,78.39,15.68,3.92,13.72,101.91,0,356.68,5.88,17.64,62.71,1026.93,19.6,19.6,21.56,0,5.88,146.98,1.96,13.72,9.8,27.44,5.88,9.8,48.99,13.72,17.64
