stage,axial,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,neural,olfactory,otic,periderm,pgc,spinal.cord
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0.82,0,0.82,0,0,0,0,0,0,0,0.82,0,2.46,0,4.93,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,5.64,0.81,3.22,0.81,0,0
 48-58,0,0,0,1.15,0,0,0,0,0,0,0,0,1.15,1.15,0,2.87,0.57,4.59,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,0,0,3.93,0.98,0,7.85,0,8.83,0,0,0
 72-82,0,0.98,0,2.94,0,0.98,0,0,0,0,0,0,4.91,0,0,5.89,0.98,21.6,0,0,0
 84-94,0,0,1.06,2.12,0,0,1.06,0,0,0,0,0,10.62,0,1.06,1.06,1.06,25.49,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,2.19,0,0,17.49,0,0,5.46,0,48.09,0,0,0
108-118,0,0,0,1.53,0.77,0.77,0,0,0,0,0.77,0.77,13.02,0,0,6.13,1.53,31.4,0,0,0
120,0,0,0,3.92,0,0,1.96,0,0,0,0,0,13.72,0,0,11.76,0,25.48,0,0,1.96
