stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.23,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.88,6.29,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,8,133,4,0,34,0,0,0,9,3,2,2,1,0,0,0,0,37,1,0,36,256,3,0,0,7,0,6,32,6,3,30,116,0,0,2,0,0
 24-34,0,0.82,4.1,105.89,0.82,0,24.63,0,2.46,1.64,9.85,1.64,1.64,13.13,0.82,0,2.46,0,0,77.16,0.82,0,23.8,222.45,0.82,1.64,4.1,0,0,6.57,0,4.1,0,4.1,82.09,0,0,9.03,0,0
 36-46,0,0,2.42,145.83,0.81,0,27.39,0.81,11.28,3.22,26.59,0.81,7.25,42.7,0,0,2.42,0.81,0.81,228,1.61,8.86,78.96,269.9,1.61,4.83,6.45,0,0.81,7.25,0,0.81,0.81,0.81,142.6,0,0,14.5,0,0.81
 48-58,0,0,0,52.22,0,0,12.05,0,6.31,2.87,3.44,0,1.15,53.94,0,0,0,0,0,83.2,2.3,2.3,21.23,25.82,1.15,1.72,0,0,0,0.57,0,0.57,0,0,11.48,0,0.57,1.72,0,0
 60-70,0,0,0,66.74,0,0,21.59,0,11.78,8.83,18.65,0,0,59.87,0,0,1.96,0.98,0,147.23,0,1.96,15.7,34.35,0.98,3.93,0.98,0,0,1.96,0,0,0,0,8.83,0,2.94,0.98,0.98,0
 72-82,0,0.98,0,53.01,0.98,0,18.65,0.98,3.93,18.65,20.61,0,1.96,55.95,0,0,0,0,0,111.91,0,1.96,16.69,24.54,0,7.85,4.91,0,0.98,0.98,0,0,0,0,4.91,0.98,0.98,4.91,1.96,0.98
 84-94,0,0,0,124.26,1.06,0,35.05,0,18.05,7.43,25.49,1.06,1.06,79.65,0,0,1.06,0,0,148.69,0,5.31,20.18,26.55,5.31,4.25,9.56,0,0,1.06,0,0,1.06,0,3.19,1.06,7.43,4.25,2.12,0
 96-106,0,0,0,111.47,2.19,0,20.76,0,10.93,10.93,22.95,2.19,3.28,86.33,1.09,0,1.09,1.09,1.09,148.63,1.09,3.28,15.3,25.14,1.09,9.84,6.56,0,0,2.19,0,0,0,0,4.37,0,2.19,3.28,4.37,0
108-118,0,0,0,118.72,0.77,0.77,19.15,1.53,19.92,12.26,18.38,2.3,0,55.92,2.3,0,1.53,0,1.53,173.87,0.77,4.6,17.62,32.94,1.53,1.53,3.83,0,0.77,0,0,0.77,0,0,0.77,1.53,0,2.3,2.3,0
120,0,0,0,76.43,0,0,5.88,1.96,5.88,5.88,17.64,0,0,113.67,0,1.96,0,0,1.96,76.43,1.96,0,5.88,15.68,0,9.8,5.88,0,3.92,1.96,0,1.96,0,0,0,0,5.88,5.88,0,0
