stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,18,0,0,2,0,0,2,0,0,1,2,11,0,0,1,0,0
 24-34,0,0,0,2.46,0.82,0,8.21,0,1.64,0,1.64,0,0,0,3.28,0,0,0,1.64,4.1,0,0.82,25.45,0,0.82,0,0,0,18.06,0,0.82,0.82,0,7.39,0,0,3.28,0,0.82
 36-46,0,0,0,1.61,0.81,0,8.06,0,0,0,1.61,0,0,0.81,0.81,0,0,0,2.42,2.42,0,0.81,34.64,0,0.81,0,0,0,10.47,1.61,0,0,0,9.67,0,0,2.42,0,0
 48-58,0,0,0,0.57,0,0,10.9,0,0.57,0,6.89,0,0,0,0,0,0.57,0.57,2.3,2.87,0.57,0,18.94,0.57,0,0.57,0,0,6.31,0,0.57,0,0,5.74,0,0,0.57,0,1.15
 60-70,0,0,0,1.96,0,0,29.45,0,0,0.98,8.83,2.94,0,0,0.98,0.98,0,0.98,0,7.85,0,0,16.69,0,0.98,0,0,0,6.87,0,0.98,0,0,5.89,0,0,0,0,0
 72-82,0,0.98,0,1.96,0,0,30.43,0,0.98,1.96,38.28,7.85,0.98,1.96,3.93,1.96,0,6.87,0,17.67,1.96,0.98,24.54,0,0,2.94,0,0.98,7.85,0,1.96,0,0,1.96,0,0.98,1.96,0,0
 84-94,0,0,0,6.37,0,0,32.92,0,3.19,1.06,39.3,22.3,1.06,3.19,8.5,3.19,0,19.12,0,11.68,5.31,1.06,15.93,3.19,0,4.25,0,0,22.3,0,0,0,0,6.37,1.06,1.06,2.12,0,0
 96-106,0,0,0,3.28,0,1.09,22.95,0,0,0,44.81,15.3,0,1.09,5.46,0,0,17.49,0,7.65,0,0,10.93,2.19,1.09,2.19,0,0,8.74,0,2.19,0,0,4.37,0,1.09,0,1.09,1.09
108-118,0,0.77,0.77,12.26,2.3,0.77,16.85,1.53,0.77,1.53,36.77,19.92,0,0.77,6.89,3.06,0,137.87,0,8.43,1.53,0.77,33.7,1.53,0.77,2.3,0,0,3.83,0,0.77,0,0,1.53,0.77,0,0.77,0.77,0.77
120,0,0,0,9.8,0,1.96,13.72,0,1.96,0,17.64,7.84,0,0,1.96,0,1.96,0,0,3.92,0,0,17.64,1.96,0,0,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0
