stage,axial,blastomeres,epidermis,eye,hatching_gland,immune,mesenchyme,neural,paraxial_mesoderm,periderm,vasculature
  3-4,65.89,1449.57,0,0,0,0,0,0,0,39.53,0
  5-6,24.52,202.28,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,2.63,0,0,28.92,21.03,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0
 60-70,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0.98,0.98,0,1.96,0,0,0,0,0
 84-94,0,0,0,0,0,2.12,1.06,0,0,0,1.06
 96-106,0,0,0,0,0,7.65,0,0,0,0,0
108-118,0,0,1.53,0.77,0,1.53,0.77,0.77,0,0,0
120,0,0,1.96,0,0,3.92,1.96,1.96,0,0,0
