stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,0,1,0,2,0,1,3,0,0,0
 24-34,0,0,0.82,0,0.82,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,9.85,0,0,0,0.82,0,0,0,4.1,0.82,0,0
 36-46,0,0,0.81,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0,11.28,0,1.61,0,1.61,0,0,0,5.64,0,0,0
 48-58,0,0,0,0,4.59,0,0,22.38,0,0,0,0,0,0,1.72,0,0,1.15,10.33,0,5.74,0,0,0,0,0,6.31,0.57,0,0
 60-70,0,0,0,0,8.83,0,0,110.91,0,0,0,0,0,0,0,0,0,0,9.82,0,4.91,0,0,0,0,0,5.89,0.98,0,0
 72-82,0,0,0.98,0,25.52,1.96,0,324.93,0.98,1.96,0,0,0,0.98,9.82,0.98,0,0.98,10.8,0,14.72,0,1.96,0,0,0,5.89,1.96,0,0.98
 84-94,0,0,1.06,0,22.3,0,0,212.41,1.06,1.06,0,0,0,0,3.19,0,0,1.06,5.31,0,12.74,0,2.12,0,0,0,4.25,0,1.06,0
 96-106,0,1.09,7.65,0,25.14,3.28,0,261.19,0,1.09,1.09,0,1.09,0,6.56,0,1.09,0,16.39,0,15.3,0,1.09,0,0,0,8.74,0,0,0
108-118,0,0,2.3,0.77,9.96,0,0,253.53,0,0.77,0,0,0.77,0,0.77,0,0,0.77,10.72,0,19.15,0,0.77,0,0,0,4.6,0.77,0.77,0
120,0,0,0,0,25.48,0,1.96,319.45,0,1.96,1.96,1.96,0,0,1.96,0,0,0,23.52,0,17.64,0,3.92,0,1.96,0,3.92,0,0,0
