stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,28,11,0,41,0,1,0,0,0,0,0,0,0,0,0,4,11,0,0,16,160,0,0,0,0,0,8,0,0,1,10,13,0,0,6,0,1
 24-34,0,0,0.82,120.67,4.93,0,92.76,0,13.13,0,10.67,0,6.57,2.46,0,1.64,4.93,0.82,3.28,123.13,0,0,62.39,687.06,4.93,3.28,1.64,0.82,0,184.69,0,0.82,0,0.82,57.46,0,0,64.85,0,2.46
 36-46,0,0,0,53.98,0,0,157.91,0.81,12.89,1.61,66.87,3.22,4.83,1.61,0,0.81,0,0.81,0.81,153.08,1.61,2.42,39.48,699.32,0.81,1.61,1.61,0,0.81,197.39,0,0,0.81,0,120.04,0,0.81,58.01,0,4.83
 48-58,0,0,0,47.63,0,0,405.11,0,14.35,5.74,100.99,1.72,6.89,3.44,0,1.15,0,0,2.3,241.57,0,5.74,25.82,581.26,2.87,1.15,0.57,0,0.57,131.4,0,1.15,0,0,67.14,0,0.57,45.33,0,2.87
 60-70,0,0,0,44.17,0.98,0,953.06,0,18.65,3.93,127.6,6.87,7.85,4.91,0.98,1.96,0.98,0.98,0,313.11,1.96,9.82,17.67,738.1,3.93,2.94,1.96,0,5.89,96.19,0,0.98,0,0,72.63,1.96,6.87,37.3,0.98,3.93
 72-82,0,0,0,27.49,0.98,0,954.18,0,6.87,5.89,179.64,14.72,7.85,16.69,2.94,3.93,1.96,1.96,0,405.43,0,20.61,23.56,672.44,0.98,2.94,7.85,0,3.93,78.53,0,0,0,0,13.74,2.94,13.74,86.39,4.91,1.96
 84-94,0,0,0,48.85,2.12,0,573.5,1.06,16.99,6.37,99.83,21.24,6.37,28.68,5.31,2.12,3.19,0,5.31,237.9,2.12,8.5,12.74,305.87,2.12,2.12,1.06,0,2.12,166.74,1.06,1.06,0,0,15.93,2.12,9.56,58.41,4.25,3.19
 96-106,0,0,0,51.36,1.09,0,465.55,2.19,4.37,0,133.33,9.84,2.19,25.14,6.56,2.19,2.19,1.09,1.09,216.38,3.28,9.84,4.37,259,0,3.28,8.74,0,2.19,143.16,0,3.28,0,0,2.19,1.09,4.37,59.01,10.93,3.28
108-118,0,0,0,31.4,1.53,0.77,393.7,0,7.66,3.06,80.43,6.13,1.53,13.79,3.06,3.83,1.53,0,0.77,149.36,0,8.43,3.83,235.92,0.77,2.3,3.83,0,3.06,50.55,0,0,0,0,4.6,0.77,4.6,38.3,3.83,1.53
120,0,0,0,37.24,1.96,1.96,331.2,1.96,13.72,1.96,68.59,1.96,1.96,19.6,0,1.96,1.96,0,0,111.71,3.92,5.88,15.68,235.17,1.96,1.96,0,1.96,3.92,56.83,0,0,0,0,1.96,0,0,25.48,1.96,1.96
