stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,18.88,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,45,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,5,17,33,0,0,0,0,2,0,0,3,11,0,0,0,0,0
 24-34,0,0.82,0,41.86,0,17.24,3.28,0.82,0,4.93,0,0,11.49,0,0,3.28,4.1,0.82,1.64,106.71,0.82,0,26.27,151.04,9.03,15.6,3.28,0,0,4.1,0,0.82,4.1,27.91,0,0,7.39,0,8.21
 36-46,0,0,0,20.95,0,8.06,5.64,3.22,0,9.67,0,0,2.42,0,0,0,4.03,0.81,11.28,117.63,0,0.81,11.28,211.89,3.22,15.31,2.42,0,0,4.03,0.81,0,0,25.78,0,0,9.67,0,12.09
 48-58,0,0,0,13.2,0,18.94,7.46,5.74,0.57,11.48,0,0.57,3.44,1.15,0,8.03,1.72,0.57,11.48,96.97,1.15,2.3,14.35,208.86,3.44,14.92,4.02,0,0.57,6.89,0,0.57,0,30.99,0,0,9.18,0.57,13.77
 60-70,0,0,0,13.74,0.98,58.89,5.89,3.93,3.93,33.37,0,0,1.96,2.94,0,15.7,1.96,0,3.93,115.82,0.98,4.91,19.63,290.53,2.94,16.69,6.87,0,1.96,6.87,0,0,0,21.59,0,3.93,4.91,0.98,17.67
 72-82,0,0,0,10.8,0.98,129.58,7.85,4.91,4.91,71.66,0,0,5.89,0,0,14.72,7.85,0,12.76,173.75,3.93,8.83,17.67,350.45,0,22.58,10.8,0,3.93,0.98,0,0,0,16.69,0.98,2.94,14.72,4.91,17.67
 84-94,0,0,0,38.23,0,104.08,2.12,8.5,1.06,53.1,2.12,0,1.06,3.19,0,15.93,2.12,0,25.49,108.33,3.19,4.25,9.56,216.66,1.06,13.81,10.62,0,2.12,12.74,1.06,1.06,0,10.62,2.12,4.25,21.24,6.37,11.68
 96-106,0,2.19,0,30.6,1.09,109.28,1.09,6.56,4.37,79.78,1.09,0,3.28,12.02,3.28,18.58,7.65,0,18.58,84.15,5.46,9.84,6.56,146.44,1.09,29.51,19.67,0,2.19,4.37,1.09,0,0,6.56,0,4.37,18.58,4.37,17.49
108-118,0,1.53,0,16.85,1.53,89.62,0,11.49,3.06,68.17,0.77,0,2.3,3.83,0.77,23.74,5.36,0,26.04,86.55,1.53,8.43,5.36,208.34,3.06,16.85,19.92,0,1.53,4.6,0,0,0,3.06,2.3,0.77,13.79,3.06,29.11
120,0,0,0,19.6,0,80.35,5.88,5.88,3.92,54.87,3.92,0,3.92,9.8,0,19.6,1.96,0,7.84,62.71,0,1.96,7.84,205.78,1.96,13.72,13.72,0,1.96,1.96,0,0,0,9.8,0,1.96,13.72,1.96,13.72
