stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,8,25,0,0,0,0,0,1,0,37,0,0,0,0,1,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0,0,0
 24-34,0.82,0,2.46,5.75,0.82,0,0,0,0,0.82,0,95.22,0,0,0,0,0.82,0,0,0,16.42,0,1.64,0,0,0.82,0,0.82,4.1,0,0,5.75,0,0.82
 36-46,0,0,1.61,0.81,1.61,0,0,0,0.81,0,0,129.71,0,0,0,0,1.61,0.81,0,0.81,14.5,0,2.42,0.81,0,0.81,0,0,5.64,0,0,4.83,0,0
 48-58,0,0,1.15,0.57,3.44,0,0,0,1.15,0,0,108.45,0,0.57,0,0,3.44,0,0,0.57,13.77,0,0,0,0,0,0,0.57,0.57,0,0,5.16,0,0
 60-70,0,0,0.98,0,5.89,0,0.98,0,2.94,1.96,0,114.84,0,0,0,0,3.93,0,0,0,20.61,0,0.98,0,0.98,0.98,0,0.98,5.89,0,0,9.82,0,0.98
 72-82,3.93,0,1.96,0,6.87,0,0,0.98,0.98,17.67,0,145.29,0,0,0,0,0.98,0,0,0,10.8,0,0,0,0,1.96,0,0,0.98,0,0,9.82,0,0
 84-94,0,0,1.06,0,3.19,1.06,0,0,0,28.68,0,212.41,0,0,0,1.06,3.19,1.06,0,0,4.25,0,0,1.06,0,2.12,0,2.12,0,1.06,0,7.43,0,0
 96-106,2.19,0,12.02,2.19,1.09,0,0,0,1.09,49.18,0,265.56,2.19,0,0,0,7.65,0,1.09,1.09,14.21,0,1.09,0,0,5.46,0,1.09,0,0,1.09,24.04,2.19,0
108-118,0.77,0.77,5.36,0.77,1.53,0,0,0,0,40.6,0,228.26,0,0.77,0,0,4.6,0,0.77,0.77,6.13,0,0.77,1.53,0,2.3,0,0,0,0,0,17.62,0,0
120,1.96,0,11.76,1.96,0,0,0,0,1.96,25.48,1.96,241.05,0,0,1.96,0,3.92,0,0,0,1.96,1.96,1.96,0,0,1.96,0,1.96,0,0,0,13.72,0,0
