stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,3,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,1,0,1,4,0,0,0,0
 24-34,0,0,3.28,0,0.82,0,0,0.82,0,0,0,0,0,0.82,24.63,0,0,0,1.64,0.82,4.93,0,0,0,0
 36-46,0,0,5.64,0,0.81,1.61,2.42,0,0,0,0,1.61,0,0.81,18.53,0.81,0,0,0.81,0,6.45,0,0,0,0
 48-58,0,1.72,1.15,0,0,0.57,4.02,0,0,0,0,1.72,0,0.57,14.35,0,0,0,0,0,4.59,0,0,0,0
 60-70,0,0.98,9.82,0,0,1.96,2.94,0,0,0,0,2.94,0.98,0,17.67,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0.98,7.85,0,0.98,0,2.94,0,0,0,0,3.93,0,0,12.76,0,0,0,0,0,0,0.98,0.98,0,0
 84-94,0,0,6.37,0,0,0,0,0,1.06,0,0,0,0,0,5.31,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,3.28,0,0,0,1.09,0,0,0,0,2.19,0,0,6.56,0,0,0,1.09,0,1.09,0,0,0,1.09
108-118,0,0,2.3,0.77,0,0,0.77,0,0,0.77,0.77,1.53,0,0.77,2.3,0,0,0,0,0,0,0,0,0.77,0
120,0,1.96,1.96,0,0,1.96,1.96,1.96,0,0,0,3.92,0,0,15.68,0,0,0,0,0,0,0,0,0,0
