stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,pericytes,periderm,slow_muscle,spinal_cord,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,3.28,0,2.46,0,0,0,0,0,0,128.05,0,0,0,0,0,12.31,0
 36-46,0,0,74.93,0,60.43,0,0,0,0,0.81,0,758.13,0.81,0,0,0,0,130.52,0
 48-58,2.3,0.57,144.6,0,164.11,0,1.15,0,0,2.3,0.57,603.64,0,0,0,0.57,0,196.24,0
 60-70,0,0,99.13,0.98,97.17,0,0,0,0,2.94,0,215.93,0,0.98,0,0,0,86.37,0
 72-82,0,0.98,40.25,0,50.06,0,0,0,0,0,0,98.17,0,0,0.98,0,0,8.83,0
 84-94,3.19,0,30.8,0,20.18,1.06,0,0,0,0,0,32.92,0,0,0,0,0,7.43,0
 96-106,0,0,19.67,0,13.11,0,0,0,0,0,0,36.06,0,0,1.09,0,0,0,1.09
108-118,0,0,19.15,0,14.55,0,0,0.77,0.77,1.53,0,49.79,0.77,0,0,0,0.77,0.77,0
120,0,0,35.28,0,13.72,0,0,0,0,0,0,97.99,0,0,0,0,0,0,0
