stage,axial,epidermis,erythrocytes,eye,glial,heart,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,pronephros,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,15,0,0,1,0,0,0,0,0,0,0,17
 24-34,0,0,2.46,0.82,0,0,0,0,1.64,0,0,0,0.82,47.61
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,9.67
 48-58,0,0,0,0.57,0,0,1.72,0,1.15,0,0,1.15,0,2.3
 60-70,0,0,0,0,0,0,5.89,0,1.96,0.98,0,0.98,0,3.93
 72-82,0,0,0,0.98,0,0,2.94,0,1.96,0,0,9.82,0,5.89
 84-94,0,1.06,0,0,0,0,7.43,0,0,0,0,30.8,0,2.12
 96-106,0,0,0,0,1.09,0,9.84,0,2.19,0,0,55.74,0,3.28
108-118,0,0,0,2.3,0,0,6.13,0.77,1.53,0,0,36,0.77,3.06
120,0,0,0,0,0,0,9.8,0,1.96,0,0,31.36,0,1.96
