stage,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
 14-21,1,0,0,0,0,0,0,0,0,1,0,9,2,0,7,1,4,2,0
 24-34,0,3.28,0,0,0,0,0,0.82,0,2.46,0.82,9.03,0,2.46,0,0,0,1.64,0
 36-46,0,2.42,0.81,0.81,0,0,0,0,0,0.81,0.81,11.28,0,0,0,0,0,1.61,0.81
 48-58,0,5.74,0,0,0,0.57,0,0.57,0,2.3,0,6.31,0,0.57,0,0,0,2.87,0
 60-70,1.96,0.98,0,1.96,0,0,0,0,0,1.96,0,2.94,0,0,0,0,0,0.98,0.98
 72-82,0,1.96,0,0.98,0,0,0,0,0,1.96,0,6.87,0,0.98,0,0,0,0.98,0
 84-94,1.06,2.12,1.06,0,0,0,0,0,0,1.06,0,6.37,0,0,0,0,0,0,1.06
 96-106,0,1.09,0,0,1.09,0,0,0,1.09,0,0,2.19,0,0,0,0,0,0,1.09
108-118,0.77,2.3,0,0,0,0,0,0,0,0.77,0,3.06,0,0,0,0,0,0,0.77
120,1.96,3.92,0,1.96,0,0,1.96,0,0,1.96,0,3.92,0,0,0,0,0,0,0
