stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,6.13,73.56,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,5.26,0,0,0,0,0,0,63.09,2.63,0,15.77,2.63,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,75.53,3.15,0,12.59,3.15,0,0,0,0,0,0,0
 14-21,0,0,7,0,0,0,0,0,1,2,1,17,0,1,0,2,0,1,5,1,1,11,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,2.46,0,0.82,0,0.82,0,0,0.82,0,0,1.64,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0.81,0,0,0.81,0
 48-58,0,0,0,0,0.57,0.57,0.57,0,0,0,0,3.44,0,0,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,1.96,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,0.98,0,0.98,0,1.96,0,0,0,0,0,0,0.98,0,0,0,0.98
 84-94,0,0,0,0,1.06,0,0,1.06,0,2.12,0,1.06,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,1.09,0,0,0,1.09,0,1.09,5.46,0,1.09,0,0,0,1.09,0,0,1.09,0,0,0,0
108-118,0,0,0,1.53,0,0.77,0,2.3,0,0.77,0,2.3,0,0,0,0,0,0,3.06,0,0,0,0.77
120,0,0,3.92,0,0,0,1.96,0,0,0,0,5.88,0,0,0,0,0,0,1.96,0,0,1.96,0
