stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,1,0,0,0,0
 24-34,0,2.46,0,0.82,10.67,0,0,0,0,0,3.28,2.46,0,0,0,4.93,13.95,0,5.75,22.98,10.67,3.28,0,0,0,0
 36-46,0,0.81,0,3.22,17.72,0,0,0.81,0,0,0.81,0,0,1.61,0.81,2.42,18.53,0,4.03,20.14,0.81,4.03,0,0.81,0,0
 48-58,0,0,0,7.46,6.89,0,0.57,1.15,0,0,2.3,0.57,0,4.02,0,1.72,21.8,0.57,1.72,5.16,0,5.16,0,0,0,0
 60-70,0,0.98,0,3.93,14.72,0.98,0,0,0,0,0,0,0,1.96,0,1.96,13.74,0,0,14.72,0,0.98,0,0,0,0
 72-82,0,0.98,0,7.85,11.78,0,0,0,0.98,0,3.93,0,0,3.93,0,2.94,13.74,0,4.91,5.89,0,5.89,0,0,0,0
 84-94,0,2.12,1.06,0,9.56,0,0,1.06,1.06,0,4.25,0,0,2.12,0,3.19,8.5,0,6.37,12.74,0,0,0,0,0,0
 96-106,0,1.09,0,4.37,13.11,0,0,1.09,0,1.09,1.09,0,0,2.19,2.19,0,7.65,0,10.93,14.21,0,1.09,0,0,1.09,0
108-118,0,0.77,0,3.06,10.72,0,0,2.3,1.53,0,9.96,0,0.77,1.53,0,3.06,2.3,0,7.66,9.96,0,0,0.77,0.77,0,0.77
120,0,3.92,0,0,15.68,0,0,0,0,0,3.92,0,0,0,0,3.92,1.96,0,0,3.92,0,0,0,0,0,0
