stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,23,14,0,0,5,0,0,3,0,15,0,13,17,0,0,0,0,0
 24-34,0,0,0.82,0,51.71,0.82,0,1.64,0,1.64,0.82,4.93,0,0,0,0,0.82,0,58.28,0,0,114.92,26.27,0,0,0.82,0,0,4.1,0,10.67,0,2.46,14.78,0,0,0.82,0,0
 36-46,0,0,0,0.81,64.45,0,0,0.81,0,12.09,3.22,1.61,0,2.42,0,0.81,0,0,153.88,0.81,0.81,48.34,25.78,0,2.42,0,0,0.81,0.81,0.81,4.83,0,0,10.47,0,0,0.81,0,0
 48-58,0,0,0,0,82.63,0.57,0,8.61,0,25.82,1.72,5.16,0,2.3,0,0,0,0.57,160.09,0,0.57,38.44,17.21,0,1.15,4.59,0,0.57,6.89,0,1.15,0.57,0,12.05,0,0,0,0,0.57
 60-70,0,0,0,0,57.91,0.98,0,6.87,0,18.65,6.87,9.82,0,0,0,0.98,0,0.98,227.71,1.96,1.96,38.28,32.39,0.98,0,2.94,0,0,16.69,0,1.96,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,0,107,0.98,0,22.58,0,37.3,7.85,12.76,0.98,0,0,0,0,0,424.08,2.94,5.89,34.36,51.05,0,0.98,19.63,0,0,35.34,0,0,0,0,3.93,0.98,0.98,0,1.96,0
 84-94,0,0,0,0,194.35,0,0,29.74,1.06,69.03,3.19,6.37,1.06,0,0,4.25,0,1.06,240.02,3.19,2.12,22.3,15.93,0,3.19,22.3,0,0,110.45,0,0,0,0,2.12,1.06,2.12,0,1.06,0
 96-106,0,0,0,0,183.6,2.19,1.09,31.69,1.09,62.29,8.74,7.65,0,2.19,1.09,2.19,0,0,256.82,3.28,3.28,22.95,26.23,1.09,3.28,18.58,0,0,65.57,0,0,0,0,1.09,0,2.19,0,2.19,0
108-118,0,0,0.77,0,199.15,0,0,22.21,0,78.89,6.89,4.6,0,3.06,0,1.53,0,0,244.34,3.06,3.06,21.45,34.47,0,3.06,8.43,0,0,46.72,0,0,0,0,0,0.77,2.3,0,0,0
120,0,0,0,0,125.43,0,0,13.72,1.96,56.83,3.92,1.96,0,3.92,0,1.96,0,0,197.94,1.96,0,15.68,48.99,0,1.96,11.76,0,0,35.28,0,1.96,0,0,0,0,0,1.96,0,0
