stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,83,0,0,0,0,0,2,0,0,0,2,25,0,0,0,0,0
 24-34,0,1.64,0,0.82,0,0,13.95,0,0,0,1.64,0,0,0,0.82,0,0.82,0,0,0.82,0,0,2.46,316.85,0,2.46,0,0,0,4.1,0,0,0.82,0,109.17,0,0,1.64,0,0.82
 36-46,0,1.61,0,1.61,0,0,14.5,0,0.81,0,1.61,0,0,0,0,0,0.81,0,0,0,0,0,1.61,702.54,0.81,4.03,0.81,0,0,2.42,0,0,0,0,181.28,0,0,0.81,0,0.81
 48-58,0,1.72,0,4.59,0,0,84.92,1.72,1.15,1.15,10.33,0,0,0.57,0,0,0.57,1.15,1.15,6.89,0,0.57,4.59,1064.98,0.57,4.02,0.57,0,0,2.87,0,0,0,0,185.34,0,0,0.57,0,1.72
 60-70,0,0,0,3.93,0,0,273.84,0,1.96,0,19.63,0.98,0,0,0,0.98,1.96,0,1.96,11.78,0,0,0.98,2079.85,0,8.83,0.98,0,0,3.93,0,0,0,0,318.01,0,0.98,1.96,0.98,4.91
 72-82,0,3.93,0,22.58,1.96,0,483.96,0,0.98,0.98,42.21,0,0.98,0.98,0,0.98,3.93,0,0,37.3,0.98,1.96,0.98,2714.29,0.98,5.89,5.89,0,0.98,5.89,0.98,0,0.98,0,218.91,1.96,0.98,5.89,4.91,2.94
 84-94,0,1.06,0,39.3,0,0,375.96,0,1.06,3.19,47.79,0,1.06,2.12,0,1.06,1.06,2.12,0,28.68,0,2.12,7.43,1576.06,0,8.5,5.31,0,0,8.5,0,1.06,0,0,144.44,2.12,0,2.12,4.25,1.06
 96-106,0,4.37,1.09,42.62,4.37,0,343.15,4.37,3.28,1.09,68.85,3.28,0,3.28,1.09,1.09,4.37,2.19,1.09,33.88,2.19,2.19,0,1478.62,2.19,8.74,3.28,0,0,13.11,2.19,0,0,0,78.68,2.19,0,3.28,4.37,1.09
108-118,0,3.06,0,32.17,2.3,0.77,280.34,0.77,0.77,0.77,50.55,0,0,3.06,0.77,3.06,2.3,2.3,0,19.15,0,0.77,3.83,1595.5,0,4.6,2.3,0,0,4.6,0,0,0,0,60.51,1.53,1.53,1.53,1.53,2.3
120,0,0,0,33.32,1.96,0,317.49,0,3.92,0,70.55,1.96,0,0,1.96,0,1.96,0,0,17.64,1.96,1.96,3.92,1963.71,0,7.84,1.96,0,0,9.8,0,0,0,0,96.03,1.96,0,7.84,0,0
