stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,19,0,0,0,0,0,0,5,2,21,0,0,2,0,0
 24-34,0,0,2.46,0.82,1.64,0.82,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,1.64,112.46,0.82,0.82,0.82,0,0,0,0,0.82,77.98,0,0,6.57,0,0
 36-46,0.81,0,0,0,2.42,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,1.61,301.32,0,3.22,2.42,0,0.81,0,0,0,99.1,0,0,3.22,0,0.81
 48-58,0,0,2.87,0,20.08,0,0,0,5.74,0,0,2.3,0,0,1.15,0,0,0.57,9.18,0,0.57,0,580.12,0.57,0.57,1.15,0,1.15,0,0,0,87.79,0,1.15,2.87,0,1.15
 60-70,0,0,1.96,0,60.85,0,1.96,0,15.7,0.98,0,3.93,0,0.98,0.98,0,0,0.98,13.74,0,0.98,0,1076.73,0,0.98,2.94,0,3.93,0,0,0,112.88,0,0.98,3.93,0,0
 72-82,0,0.98,5.89,1.96,101.11,0,0,1.96,26.5,0,0.98,4.91,0.98,0,0.98,0.98,0,0,22.58,0,1.96,0.98,1146.58,0,2.94,3.93,0.98,2.94,0,0,0,75.59,0,2.94,4.91,0,0
 84-94,0,0,12.74,3.19,104.08,0,0,1.06,20.18,2.12,0,1.06,2.12,0,1.06,0,0,0,12.74,0,1.06,2.12,591.55,0,4.25,0,0,1.06,0,0,0,41.42,0,2.12,1.06,0,0
 96-106,0,0,6.56,2.19,67.76,2.19,0,1.09,14.21,1.09,0,1.09,0,0,1.09,1.09,0,0,15.3,1.09,0,0,572.65,0,4.37,12.02,1.09,4.37,0,0,0,28.41,0,2.19,3.28,2.19,1.09
108-118,1.53,0.77,3.83,1.53,53.62,0,0,0,5.36,1.53,0,1.53,0,0,1.53,0.77,1.53,0,11.49,0,0,2.3,550.73,0,3.83,6.13,0,1.53,0,0,0,15.32,0.77,0.77,3.06,0,0.77
120,1.96,0,1.96,5.88,54.87,0,1.96,0,13.72,3.92,0,1.96,0,0,1.96,0,0,0,19.6,0,1.96,0,685.92,1.96,1.96,9.8,0,0,1.96,0,0,25.48,0,1.96,0,0,0
