stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,4,1,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0,4.1,0,0,0,0,0.82,0,0,0.82,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0.81,0,16.11,0,0,0,0,0,0,0,2.42,0.81,0
 48-58,0,0,0,0,0,18.94,0,0,0,0.57,0,0,0,0.57,0.57,21.8,0,0,0,0,0,0,0,3.44,0,0
 60-70,0,0,0,0,0,41.22,0,0.98,0,0,0,0,0,0,0,28.46,0,0,0,0,0,0,0,7.85,0.98,0
 72-82,0,0,0,0.98,0,96.2,0.98,0,4.91,0.98,0.98,0,0,2.94,0,53.01,0,0,0.98,0,0,0,0,5.89,0.98,0
 84-94,0,0,0,0,0,93.46,0,0,2.12,0,0,0,1.06,2.12,0,46.73,0,0,0,0,0,0,0,5.31,3.19,0
 96-106,0,0,0,0,1.09,84.15,1.09,0,3.28,0,2.19,0,0,2.19,0,30.6,0,1.09,0,0,0,0,0,2.19,0,1.09
108-118,0,0,0,0,0.77,64.34,0.77,0.77,1.53,0,0.77,0,0,3.06,2.3,49.02,0,2.3,0,0,0.77,0.77,0,0.77,0.77,0.77
120,0,0,0,0,0,97.99,0,0,3.92,0,0,1.96,0,0,0,45.08,0,0,1.96,0,1.96,0,0,5.88,1.96,0
