stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,579.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,5.26,0,0,0,18.4,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,162.98,2.63,0,0,49.95,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,18.88,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,201.41,0,0,0,72.38,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,43,11,0,31,0,0,0,5,2,3,1,0,1,0,0,1,4,22,0,17,168,1,1,3,2,0,2,0,38,2,2,52,53,0,0,1,0,0
 24-34,0,0,0.82,9.85,1.64,0,15.6,0,0,0,2.46,1.64,0.82,0.82,1.64,0,0.82,0.82,2.46,6.57,34.48,0.82,19.7,155.96,1.64,0,7.39,0,0.82,4.93,0,0.82,0.82,0,3.28,20.52,0,0,6.57,0,1.64
 36-46,0,0,0.81,1.61,0,0,8.06,0,0.81,0.81,6.45,0.81,0,0.81,0.81,0,0,1.61,0,10.47,21.75,0,2.42,82.18,0,0,3.22,0,0.81,1.61,0,0,0,0.81,0,11.28,0,0,2.42,0,2.42
 48-58,0.57,0,0,2.87,0.57,0,15.49,0,2.3,1.15,8.61,0,0,2.87,1.72,0,1.72,2.3,0.57,12.62,41.89,1.15,6.31,65.99,0.57,0,2.3,0,0.57,2.3,0,0,0,0,0,9.18,0,0.57,4.02,0,5.74
 60-70,0,0,0,8.83,0.98,0,2.94,0,0.98,2.94,18.65,0,0,1.96,0,0,0,1.96,0,10.8,48.09,0.98,4.91,52.02,0,0,0.98,0,1.96,1.96,0,0,0,0,0,5.89,0,1.96,2.94,1.96,14.72
 72-82,0,0,0,5.89,4.91,0,8.83,0,0.98,0,27.49,0,0,2.94,1.96,0,2.94,1.96,0.98,10.8,94.24,7.85,4.91,58.9,0,1.96,3.93,0,0.98,1.96,0,0,0,0,0,0.98,0,4.91,2.94,7.85,6.87
 84-94,0,0,0,11.68,3.19,0,14.87,0,4.25,0,16.99,1.06,0,6.37,3.19,1.06,0,1.06,2.12,26.55,58.41,5.31,4.25,46.73,3.19,0,4.25,0,1.06,10.62,0,0,1.06,0,0,1.06,1.06,2.12,5.31,8.5,16.99
 96-106,0,0,0,4.37,1.09,3.28,8.74,0,0,0,30.6,1.09,0,3.28,6.56,1.09,8.74,3.28,2.19,8.74,42.62,6.56,5.46,31.69,1.09,0,7.65,0,5.46,9.84,0,0,0,0,0,0,0,4.37,3.28,8.74,18.58
108-118,0,0,0,9.19,0.77,15.32,11.49,0.77,6.89,2.3,17.62,1.53,0,3.83,6.13,1.53,11.49,2.3,4.6,13.02,38.3,4.6,5.36,36,0,0,6.13,0,3.06,5.36,0,0,1.53,0,0,0.77,0,0.77,4.6,3.83,11.49
120,0,0,0,9.8,0,3.92,3.92,0,1.96,0,21.56,5.88,0,3.92,5.88,0,5.88,0,0,7.84,37.24,9.8,5.88,25.48,0,0,7.84,0,1.96,17.64,0,0,0,0,0,0,0,7.84,1.96,3.92,0
