stage,epidermis,eye,glial,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,9.03,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,20.14,0,0,3.22,0,0,0
 48-58,0.57,1.15,0,0,0,0.57,16.64,0,0,8.03,0,0.57,0
 60-70,0,7.85,0,0.98,0,0,35.33,0,0,12.76,0,0,0
 72-82,0,8.83,0.98,0,0,0,25.52,0.98,0,6.87,0,0,0
 84-94,0,5.31,1.06,0,1.06,0,19.12,1.06,0,2.12,1.06,0,0
 96-106,0,4.37,0,0,0,0,10.93,3.28,0,0,0,0,1.09
108-118,0,3.06,0,0.77,0,0,13.02,0,0,0.77,0,0,0
120,0,0,3.92,0,0,0,13.72,1.96,0,0,0,0,0
