stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,iridophores,liver,mesenchyme,neural,otic,periderm,pronephros,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,0,34,0,0,0,0
 24-34,0,0,0,1.64,0,0,0.82,0,0.82,6.57,0,0,0,0
 36-46,0,0,0,17.72,1.61,0,0,0,0,3.22,0.81,0,0,4.83
 48-58,0,0,0,33.28,0.57,0,0,0.57,0,3.44,0,0,0,1.72
 60-70,0,0,0,26.5,4.91,0,0.98,0,0,7.85,0,0.98,0.98,0.98
 72-82,0,0,0,14.72,5.89,0,0.98,0,0,7.85,0.98,0,0.98,0
 84-94,0,0,0,8.5,6.37,1.06,1.06,1.06,0,4.25,0,0,0,0
 96-106,0,0,1.09,7.65,7.65,0,0,0,0,8.74,3.28,1.09,0,0
108-118,0,0,0,3.06,7.66,0,5.36,0,1.53,9.96,0.77,0,0,0.77
120,0,1.96,0,3.92,0,0,1.96,0,0,15.68,0,0,0,0
