stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,197.67,3610.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0,0,0
  5-6,196.15,2366.04,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.69,12.26,0,0,42.91,0,55.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,18.4,0,28.92,0,0,73.6,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,431.11,26.29,0,0,336.48,0,5.26,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,40.91,0,3.15,34.62,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,374.49,34.62,0,0,204.55,0,6.29,3.15,0,22.03,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,2,18,19,4,0,0,0,0,2,0,0,0,1,0,0,0,0,9,0,0,7,53,1,0,0,3,0,3,0,16,1,2,2,29,0,0,5,0,0
 24-34,0,0,3.28,1.64,13.13,0.82,14.78,0,0.82,0,2.46,0.82,0,0.82,1.64,1.64,0,0,0,0,21.34,0.82,0,6.57,158.43,0,1.64,1.64,0,0,14.78,0,0,1.64,1.64,1.64,36.94,0,0,5.75,0,0
 36-46,0,0,0,0,4.03,0.81,30.62,0.81,0,0.81,2.42,0,0,0,0.81,0,0,1.61,0,0,15.31,0.81,0.81,5.64,147.44,0.81,1.61,0.81,0,0,7.25,0,0,0,0,0,33.03,0,0,6.45,0,0
 48-58,0,0,0,0,1.72,0,73.45,0.57,1.72,1.15,9.75,0,0,0,1.15,0.57,0.57,1.15,0,0.57,16.64,0.57,1.15,2.87,140.58,0.57,2.3,0,0,0,5.74,0,0,0,0,0,33.28,0,0,2.3,0,0.57
 60-70,0,0,0.98,0,10.8,0,160.97,1.96,1.96,0,26.5,0,0,0.98,3.93,0,1.96,0.98,0,0.98,32.39,0,1.96,0,251.27,0,1.96,0,0,0,9.82,0,0,0.98,0.98,0,31.41,0,0,1.96,0,0
 72-82,0,0,0,0,7.85,0.98,115.84,0,0.98,3.93,22.58,0,0,0.98,6.87,0,0,1.96,0.98,0,36.32,2.94,0,5.89,157.07,0,4.91,2.94,0,1.96,9.82,0,0,0,0,0,20.61,0,0.98,11.78,0,0
 84-94,0,0,2.12,0,6.37,1.06,56.29,0,1.06,0,14.87,4.25,0,1.06,15.93,4.25,1.06,1.06,0,0,18.05,1.06,0,4.25,91.34,0,1.06,1.06,0,0,10.62,0,0,0,0,0,9.56,0,1.06,6.37,1.06,0
 96-106,0,0,4.37,0,6.56,0,33.88,1.09,1.09,1.09,10.93,7.65,0,1.09,22.95,3.28,1.09,0,1.09,0,17.49,0,1.09,1.09,46.99,0,0,1.09,0,0,14.21,0,0,0,0,0,2.19,0,2.19,3.28,3.28,1.09
108-118,0,0,0,0,11.49,0,33.7,0,1.53,0.77,8.43,4.6,0,0,10.72,0.77,0,0.77,0.77,0.77,13.02,0,0,2.3,59.75,0,2.3,0.77,0,0,8.43,0,0,0,0,0,1.53,1.53,0,4.6,0.77,0.77
120,0,0,1.96,0,15.68,0,31.36,0,0,0,9.8,0,0,0,13.72,1.96,0,0,0,0,11.76,0,0,1.96,56.83,0,5.88,0,0,0,3.92,0,0,0,0,0,3.92,1.96,0,5.88,1.96,0
