stage,blastomeres,epidermis,eye,glial,heart,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pericytes,presomitic_mesoderm,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,2,1,0,0,1,10,0,0,0,2,5,0
 24-34,0,0,0,0,0.82,0,0,4.1,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0
 48-58,0,0,2.87,0,0,0.57,0,14.35,0,0,0,0,0,0
 60-70,0,0,20.61,0.98,0,0,0,36.32,0,0,0,0,0,0
 72-82,0,0,17.67,0.98,0,0,0,43.19,0,0,0,0,1.96,0
 84-94,0,0,16.99,0,0,0,0,12.74,0,0,0,0,1.06,0
 96-106,0,0,22.95,0,0,3.28,0,18.58,0,0,1.09,0,1.09,0
108-118,0,0,15.32,3.06,0,0,0,27.57,0,0,0,0,0,0.77
120,0,5.88,21.56,0,0,0,0,31.36,0,0,0,0,3.92,0
