stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,9,0,1,11,0,0,12,0,0,0,0,0,0
 24-34,0,0,22.98,0,0,3.28,0,0,0,0,0,0,0,0,0.82,0,0,0.82,3.28,1.64,0,1.64,36.12,2.46,0,0,0,0,134.62,0,0,0,7.39,4.1,0,0,0.82,0,0
 36-46,0,0,16.11,0,0,5.64,0,4.03,0,0,0,0,0,0,0,0,0,0.81,2.42,3.22,0,0.81,35.45,0.81,1.61,0,0,0.81,596.2,0,0,0.81,0,2.42,0,0,0,0,0
 48-58,0,0,12.62,1.72,0,71.73,1.15,17.21,1.72,20.66,1.15,0.57,0.57,1.72,0,0.57,0.57,0,33.28,10.9,2.3,3.44,196.82,1.72,1.15,1.15,0,0,1081.05,0,1.15,0,0,39.59,0,0,2.87,0,4.02
 60-70,0,0,15.7,0,0,55.95,0,10.8,0,18.65,0,0,0,7.85,0.98,0,0.98,0,17.67,7.85,0.98,3.93,103.06,0,2.94,0,0.98,0,987.41,0,0.98,0,0,15.7,0,0,0.98,0,5.89
 72-82,0,0,23.56,0,0,11.78,0,8.83,0.98,2.94,0,0,0,10.8,0.98,0,0,0,5.89,5.89,0,0,28.47,0.98,0,0,0,0,473.16,0,0.98,0,0,0.98,0.98,1.96,0.98,0,1.96
 84-94,0,0,75.4,1.06,0,13.81,0,25.49,2.12,2.12,2.12,0,0,52.04,1.06,1.06,0,1.06,8.5,10.62,0,0,13.81,0,0,1.06,0,0,1645.1,0,1.06,0,0,0,0,3.19,0,0,0
 96-106,0,0,109.28,1.09,0,21.86,0,7.65,0,5.46,1.09,0,0,40.44,0,0,0,0,8.74,10.93,2.19,1.09,15.3,0,0,1.09,0,0,650.24,0,0,0,0,1.09,0,3.28,0,1.09,1.09
108-118,0,0,101.11,2.3,0.77,5.36,0,9.19,0,2.3,0.77,0,0,56.68,0,0,0,0,9.19,19.15,0,0.77,16.09,0,0,1.53,0,0,733.79,0,0,0.77,0,0,0,1.53,1.53,0,0
120,0,0,27.44,0,0,3.92,0,1.96,0,0,0,0,0,11.76,0,0,0,0,3.92,0,0,0,11.76,0,0,0,0,0,121.51,0,0,0,0,0,0,0,0,0,0
