stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,5,0,0,0,1,1,0,0,353,78,4,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,1.64,9.85,0.82,0,0.82,0,0,0,0,0,0,0,0.82,0,5.75,0.82,0,14.78,48.43,0,0,0.82,0,3.28,0.82,1.64,233.12,9.85,10.67,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,5.64,4.03,0,0,3.22,0,0,0,0,0,0,0,0,0,3.22,0,0,6.45,29,0,0,0,0,1.61,0,0,196.58,1.61,8.06,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,0,13.2,8.61,0,0,4.02,0,0,0,0.57,0,0,0,0,1.72,5.74,0.57,0,12.62,43.04,0,0,0,0,0,0,0,170.99,0,8.03,0,0,0.57,0,1.72
 60-70,0,0,0,0,2.94,0,0,19.63,37.3,0,0,3.93,0,0,0,0,0,0,0.98,0,0,3.93,0,0,16.69,29.45,0,0,0,0.98,2.94,0,0,114.84,0,2.94,0,0,0,0,0.98
 72-82,0,0,0,0,0.98,2.94,0,21.6,46.14,0.98,0,12.76,0,0,0,0,0,0.98,1.96,0,0,12.76,0,0,11.78,39.27,0,0,0,0.98,1.96,0,0,66.75,0,0,0,0,1.96,0.98,0
 84-94,0,0,0,0,3.19,1.06,0,18.05,76.47,1.06,0,3.19,1.06,0,0,0,0,0,0,1.06,0,8.5,0,0,12.74,26.55,0,0,1.06,0,8.5,0,0,124.26,0,5.31,0,0,1.06,0,0
 96-106,0,0,1.09,0,5.46,3.28,1.09,17.49,97.26,2.19,1.09,9.84,1.09,0,1.09,2.19,0,0,2.19,1.09,0,18.58,0,0,15.3,38.25,0,1.09,2.19,1.09,8.74,0,0,125.68,0,2.19,0,1.09,1.09,2.19,2.19
108-118,0,0,0,0,0,1.53,0,11.49,87.32,1.53,0,5.36,0,0,0,0.77,0,0.77,0,3.83,0,6.13,0,0.77,16.85,21.45,0,0.77,0,0,2.3,0,0.77,113.36,0,1.53,1.53,0.77,0,0,0
120,0,0,0,0,5.88,0,0,7.84,54.87,0,0,3.92,3.92,0,0,0,1.96,1.96,0,0,0,9.8,0,0,17.64,25.48,0,0,5.88,0,3.92,1.96,0,41.16,0,1.96,0,0,0,0,0
