stage,axial,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,0,0,1,0,0,0,0,0,8,0,0,3,84,1,0,1,0,0,2,0,2,23,0,0,0,0,0
 24-34,0,0,2.46,5.75,0,1.64,5.75,1.64,0.82,0,0,0,24.63,0,0,14.78,222.45,0.82,0,2.46,0,0,4.93,0.82,0.82,42.68,0,0,0.82,0,0
 36-46,0,0,0,5.64,0,1.61,37.87,0,1.61,0,0,0.81,45.92,0,1.61,12.89,208.67,1.61,0,0.81,0,0,1.61,0,0,55.59,0,0,0.81,0,0
 48-58,0,0,1.72,6.31,0.57,1.15,65.99,0.57,1.72,0,0,0,39.02,0,2.87,9.75,78.04,0,0.57,1.15,0,0,0.57,0,0,49.35,0,0,0,0.57,0.57
 60-70,0,0,3.93,2.94,0.98,8.83,59.87,0,2.94,0,0,0,64.78,0,2.94,1.96,36.32,0.98,0,1.96,0,0.98,0,0,0,10.8,0,0.98,0,0.98,0
 72-82,0,0,0,6.87,0.98,2.94,54.97,0,7.85,0,0,0,100.13,0,1.96,9.82,18.65,0,0,6.87,0,0,0.98,0,0,2.94,0,3.93,0,4.91,0
 84-94,0,0,7.43,12.74,0,2.12,35.05,0,6.37,0,1.06,0,74.34,0,5.31,5.31,21.24,4.25,0,2.12,0,1.06,0,0,0,4.25,0,2.12,0,3.19,0
 96-106,0,0,2.19,4.37,0,4.37,24.04,0,6.56,1.09,0,0,44.81,1.09,9.84,4.37,15.3,2.19,1.09,2.19,0,2.19,0,0,0,1.09,1.09,2.19,0,4.37,0
108-118,0,0,2.3,5.36,0,3.83,24.51,0,5.36,0,0,0,63.57,0,4.6,5.36,16.85,2.3,0,3.83,0,2.3,0,0,0,1.53,0,3.06,0,0,0
120,0,0,5.88,7.84,1.96,3.92,39.2,0,9.8,0,1.96,0,48.99,0,3.92,1.96,19.6,0,0,5.88,0,0,0,0,0,0,0,3.92,0,0,0
