stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,9.44,0,0,6.29,0,0,0,0,0,0
 14-21,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0
 24-34,0,0,2.46,2.46,0,0,0,0.82,0,0,0.82,0,0,0,0,0,4.1,0.82,0,0,0,0,1.64,0.82,0.82,0,0
 36-46,0,0,2.42,2.42,0,0.81,0,0.81,0,0,0,0,1.61,0,0,0,9.67,2.42,0,0,0,0,4.03,0,0,0,0
 48-58,0,0,2.3,1.72,0.57,0.57,0,0,0,0.57,0,0,6.31,0,0.57,0.57,6.89,0,0,0,0,0,4.59,0,1.15,0,0
 60-70,0,0,2.94,0.98,0,4.91,0,0,0,0,0.98,0,3.93,0,0,0,5.89,0,0,0.98,0,0,8.83,0,0.98,0,0
 72-82,0,0,2.94,1.96,0.98,8.83,0,0,0,1.96,0,0,4.91,0,0,0,9.82,0,0,0.98,0,0.98,3.93,0,0.98,0,0
 84-94,0,0,6.37,1.06,3.19,2.12,0,0,1.06,6.37,0,0,8.5,1.06,0,0,9.56,0,0,0,0,0,20.18,1.06,0,1.06,0
 96-106,0,0,1.09,4.37,9.84,4.37,2.19,0,0,5.46,0,0,5.46,0,0,0,3.28,0,1.09,0,0,0,15.3,2.19,0,0,0
108-118,0,0,0.77,1.53,5.36,3.06,0,0,0,9.96,0.77,0.77,3.83,0,0.77,0,3.83,0,0,0,0,0,13.79,0,0.77,0,0
120,0,0,0,0,11.76,5.88,0,0,0,0,1.96,0,1.96,0,0,0,5.88,0,0,0,0,0,1.96,5.88,0,0,3.92
