stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,14,0,0
 24-34,0,0.82,0.82,0,1.64,1.64,0,0,0,0,0,5.75,0,1.64,0,0,15.6,0.82,0,0,0,0,0,6.57,0.82,0
 36-46,0,0,1.61,0,1.61,0,0,0,0,0,0.81,5.64,0,1.61,0,0.81,12.09,0,0,0,0,0.81,0,3.22,1.61,0.81
 48-58,0,0,1.15,1.15,1.72,1.15,0,0.57,0,0,0.57,3.44,2.87,2.87,0,0.57,8.61,0,0.57,0,0,0,0,1.15,0,0.57
 60-70,0,0,0.98,0.98,7.85,2.94,0,0,0,0,0.98,7.85,0.98,5.89,0.98,0,23.56,0.98,0,0.98,0,0,0,1.96,0,0.98
 72-82,0,0,0,0,4.91,9.82,0.98,0,0.98,0,3.93,6.87,0.98,5.89,0.98,0.98,16.69,0.98,0,0,0,0.98,0,0.98,0,0
 84-94,0,1.06,3.19,0,3.19,6.37,1.06,0,0,1.06,1.06,5.31,1.06,2.12,1.06,0,9.56,0,0,1.06,0,0,1.06,1.06,0,0
 96-106,0,1.09,4.37,1.09,2.19,3.28,2.19,0,0,0,1.09,21.86,2.19,5.46,1.09,0,16.39,1.09,1.09,0,0,1.09,0,2.19,1.09,0
108-118,0,0,0,0,1.53,3.06,0,0,0,0,4.6,40.6,0.77,3.06,0.77,0,6.89,0,0,0.77,0,0.77,0,0,0,0
120,0,0,1.96,1.96,0,1.96,0,0,0,0,0,21.56,0,0,0,0,7.84,0,0,1.96,0,1.96,0,0,0,1.96
