stage,blastomeres,epidermis,erythrocytes,eye,glial,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,13.95,0,0.82,0,0,0.82,3.28,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,27.39,0,0,0,0,0,1.61,0,0,0
 48-58,0,0.57,0,8.61,1.15,0,0,0,0,0,0,29.84,0,1.15,0,0,0,1.15,0,0,0
 60-70,0,0,0.98,68.71,3.93,0,0,0,0.98,0,0,60.85,0,0,0,0,0,6.87,0,0,0
 72-82,0,1.96,0,50.06,3.93,0,0,0,1.96,0,0,69.7,0,1.96,1.96,0.98,0.98,2.94,0.98,0.98,0
 84-94,0,3.19,0,42.48,1.06,0,1.06,0,2.12,1.06,0,40.36,0,3.19,0,4.25,0,0,0,0,0
 96-106,0,4.37,0,34.97,2.19,0,0,0,3.28,0,0,36.06,0,1.09,0,6.56,0,0,0,0,1.09
108-118,0,7.66,0,36.77,6.89,0.77,0,1.53,1.53,0,0,33.7,0,0.77,0.77,6.13,0,0,0,0,0
120,0,17.64,0,41.16,0,0,0,0,1.96,0,0,41.16,0,3.92,1.96,5.88,0,0,0,0,0
