stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,2,48,19,0,24,0,0,0,8,4,1,0,0,1,0,0,1,0,24,0,0,19,282,4,1,6,9,0,1,0,51,2,2,116,97,0,0,3,0,0
 24-34,0,4.1,13.95,0.82,0,55.82,0.82,0.82,0,7.39,0,0,0.82,0,1.64,0.82,4.1,1.64,0,31.19,0,1.64,25.45,518.78,2.46,5.75,4.1,0,0,4.93,0,0.82,0,0,23.8,128.05,0,0,6.57,0,1.64
 36-46,0.81,0,7.25,0.81,0,112.79,1.61,0,2.42,11.28,0.81,0,0,0.81,0,0.81,2.42,0,0,37.87,0,0.81,20.14,456.81,2.42,7.25,0.81,0,0,7.25,0.81,0,0.81,0,0,120.04,0,0,8.86,0,0
 48-58,0,0,4.02,1.15,0,148.62,2.3,1.15,2.87,26.97,0,1.15,0.57,0,0,0,0.57,0,1.72,59.1,1.72,2.3,9.18,268.54,0.57,0.57,1.72,0.57,0.57,5.16,0,0,0,0,0,71.15,0,0,6.89,0,2.87
 60-70,0.98,0,5.89,0,0,239.49,1.96,2.94,4.91,30.43,1.96,0,1.96,0,0,0,1.96,0,0.98,51.04,0.98,0,6.87,251.27,0.98,1.96,1.96,0,0.98,10.8,0,0,0,1.96,0,45.15,0,0,3.93,0,2.94
 72-82,1.96,0,4.91,9.82,0,197.31,1.96,1.96,7.85,35.34,2.94,0,1.96,1.96,2.94,1.96,1.96,0.98,0,97.18,0.98,3.93,9.82,187.5,0,5.89,1.96,0,0,10.8,0,0,0.98,0,0,21.6,0.98,3.93,5.89,0,0.98
 84-94,2.12,0,15.93,7.43,0,157.18,0,5.31,4.25,27.61,3.19,2.12,1.06,8.5,1.06,2.12,0,1.06,3.19,69.03,2.12,0,10.62,129.57,5.31,5.31,5.31,0,0,30.8,0,0,0,1.06,0,18.05,2.12,0,8.5,0,1.06
 96-106,1.09,0,12.02,10.93,2.19,100.54,2.19,0,2.19,27.32,4.37,0,0,6.56,4.37,1.09,4.37,1.09,0,62.29,2.19,3.28,9.84,106.01,4.37,5.46,8.74,0,0,28.41,0,0,2.19,0,0,2.19,1.09,0,12.02,3.28,3.28
108-118,1.53,0.77,22.21,9.96,0,83.49,2.3,3.06,0.77,29.11,6.13,0,0.77,3.83,6.89,1.53,0.77,3.83,2.3,68.94,3.06,1.53,16.85,115.66,1.53,4.6,6.89,0.77,1.53,23.74,0,0,0.77,0.77,0,3.83,2.3,1.53,3.06,0,6.89
120,0,0,11.76,13.72,1.96,88.19,5.88,3.92,1.96,21.56,5.88,0,1.96,11.76,0,0,0,3.92,0,33.32,1.96,1.96,15.68,123.47,3.92,9.8,7.84,0,0,25.48,1.96,0,1.96,0,0,5.88,0,0,5.88,5.88,0
