stage,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,7,0,0
 24-34,0.82,0,0,0.82,0,0,0.82,0,0,0,0.82,0.82,0,0,75.52,0,1.64,0,0,0,0,23.8,0,0
 36-46,0.81,0,0,16.11,0.81,0,0,0,0,0,0,0.81,0,0,228.81,0,0.81,0,0,0,0.81,45.92,0,0
 48-58,0,2.3,0,52.79,0,0.57,0.57,0,0,0,0,3.44,0,0.57,222.06,0,0.57,0,0,0,0,42.46,0,0
 60-70,0,1.96,0,160.97,0,0,2.94,0,0,0,0,3.93,0.98,0,346.48,0,2.94,0,0.98,0,0,43.19,0,0
 72-82,0,0.98,0,133.51,0,0.98,4.91,0,0.98,0,0.98,4.91,0.98,0,209.09,0,0.98,1.96,0,0,0,18.65,0,0.98
 84-94,1.06,1.06,0,111.51,0,0,2.12,1.06,0,0,0,5.31,0,0,118.95,1.06,3.19,0,0,0,0,13.81,0,0
 96-106,1.09,1.09,0,65.57,1.09,1.09,2.19,0,0,1.09,0,5.46,0,0,104.91,0,0,2.19,0,0,0,1.09,0,0
108-118,0,0.77,0.77,38.3,0,0,3.06,0,0,0.77,0,1.53,0,0,94.21,0,1.53,0,0,0,0,4.6,0.77,0
120,0,3.92,0,50.95,0,0,3.92,0,0,0,0,3.92,1.96,0,139.14,0,0,1.96,1.96,0,0,3.92,0,1.96
