stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,39.53,1001.52,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,49.04,986.87,0,0,0,0,0,0,0,0,36.78,6.13,12.26,24.52,0,0,0,0,0
  7-9,7.89,5.26,7.89,0,0,23.66,0,7.89,0,0,228.7,5.26,73.6,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,9.44,0,0,0,0,53.5,0,25.18,0,3.15,0,3.15,0,0
 14-21,0,0,0,8,1,3,1,0,3,4,13,0,1,1,1,4,0,4,2
 24-34,0,0,0,0.82,0,0,0,0,3.28,0,2.46,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
