stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,28.32,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,1,4,0,0,0,0
 24-34,0,0,0,7.39,0,0.82,0,0,0,0,0,0,0,0.82,0,0.82,2.46,0,0,0,0,0,128.05,0,1.64,0,0,0,0,0,0,21.34,0,0,0,0
 36-46,0,0,0,10.47,0,4.03,0,0,0,2.42,0,0,0,0.81,0.81,0,0.81,0.81,0,0,0,0,244.12,0,0.81,0,0,0.81,0,0,0,58.01,0,0,0,0
 48-58,0,0,0,9.75,0,25.25,0,0.57,0,5.74,0,0,0.57,0,0,0,0.57,0,3.44,0.57,0,0,300.67,0,0,0,0,1.15,0,0.57,0,32.13,0,0,0,1.72
 60-70,0,0,0.98,3.93,0,98.15,0.98,0,0.98,0,0,0.98,0.98,0.98,0,0,0,0,7.85,0,0,0,456.41,0.98,0,0,0,0,0,0,0,18.65,0,0.98,0,0
 72-82,0,0,0,8.83,3.93,270.94,0,0,1.96,12.76,0,0,0.98,0,0,0,0.98,0,38.28,0,1.96,0.98,643.97,0,0.98,0.98,0,2.94,0,0,0,24.54,0,1.96,2.94,1.96
 84-94,0,0,0,16.99,5.31,190.1,1.06,0,1.06,10.62,1.06,0,0,2.12,2.12,1.06,0,0,10.62,0,2.12,0,381.27,1.06,0,1.06,0,4.25,0,0,0,18.05,1.06,0,0,1.06
 96-106,0,1.09,0,9.84,2.19,204.36,0,0,0,22.95,2.19,0,2.19,2.19,1.09,1.09,1.09,1.09,26.23,1.09,0,0,363.92,0,0,1.09,0,3.28,0,0,0,13.11,0,0,3.28,1.09
108-118,0,0,0,13.79,2.3,224.43,2.3,0.77,0.77,15.32,0.77,0,6.13,1.53,0.77,0,0,0,15.32,0.77,0,3.83,549.2,0,0,0.77,0,0,0,0,0,5.36,0.77,0.77,2.3,0
120,0,0,0,33.32,5.88,184.22,1.96,1.96,0,11.76,0,0,7.84,0,0,0,0,0,15.68,0,0,0,629.09,0,3.92,0,0,1.96,0,0,0,11.76,0,1.96,0,0
