stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,2,3,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,3,0,1,0
 24-34,0,2.46,0.82,0,0,0,0,0.82,0,0,0,0,0,0,25.45,1.64,0,0,0.82,0,0,16.42,0
 36-46,0,0.81,0,9.67,0,0,0,1.61,0,0.81,0,0,0.81,0,14.5,0,0,0,0,2.42,0,13.7,0
 48-58,0,0,0,52.22,0,0,1.15,2.3,0,0,0,0,0.57,0,6.89,0,0,0,0,0.57,0,10.9,0.57
 60-70,0,0.98,0,159.99,0.98,0,1.96,3.93,0.98,0,0,0,0.98,0.98,14.72,0,0,1.96,0.98,1.96,0,6.87,0
 72-82,0,0.98,0,145.29,0,0.98,4.91,2.94,0,0,0,0,0.98,0,15.71,0,0,0.98,0,0,0,27.49,0
 84-94,0,0,0,61.6,0,0,2.12,6.37,0,0,1.06,0,1.06,0,5.31,0,0,1.06,1.06,1.06,0,19.12,0
 96-106,0,2.19,0,52.46,0,1.09,1.09,5.46,0,0,0,0,2.19,0,5.46,0,0,0,1.09,0,1.09,30.6,0
108-118,0,0.77,0,21.45,0,0.77,3.83,5.36,0,0,0,0.77,0.77,0,3.83,0.77,0,0,2.3,0,0,22.21,0
120,0,1.96,0,15.68,0,1.96,3.92,7.84,0,0,0,0,1.96,0,3.92,0,0,0,3.92,0,0,19.6,0
