stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,3,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,5.75,0,0,0,0,0,4.1,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,5.64,0,0.81,0,0,0.81,2.42,0,0,0.81
 48-58,0,0,1.15,0,0,0,0,0,0,0,2.87,1.72,0,0,0.57,0,0,1.72,0.57,0,0,0,0,0.57,0.57,0,0
 60-70,0,0,0,0,0,0,0,1.96,0,0,2.94,0,0,0,0,1.96,0.98,1.96,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,0,0,3.93,0,1.96,0,3.93,2.94,0,0.98,0,1.96,0.98,1.96,0,0.98,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,0,6.37,0,1.06,2.12,6.37,2.12,0,2.12,0,2.12,0,10.62,0,0,0,0,0,5.31,0,0,0
 96-106,0,0,1.09,0,1.09,0,30.6,0,3.28,0,0,0,0,2.19,0,2.19,0,2.19,0,0,0,1.09,0,2.19,0,1.09,0
108-118,0,0,0.77,0.77,0.77,0.77,91.15,2.3,2.3,0.77,0,3.83,0.77,6.89,0,0,0,5.36,0,0,0,0.77,0,0.77,0,0,0
120,0,0,1.96,0,0,0,31.36,0,0,1.96,0,0,0,1.96,0,0,0,7.84,0,0,0,0,1.96,1.96,0,0,0
