stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0
 24-34,0,0,146.93,0,0,3.28,0,4.1,0.82,0,0,0,0,0,0,0,0,0,0,0.82,1.64,0,2.46,39.4,0,1.64,0.82,0,4.1,0,0,0,0,0,5.75,0,0,3.28,0,0
 36-46,0,0,434.26,0.81,0,12.09,0,20.95,0,5.64,0,0,0.81,0,0.81,0,1.61,1.61,0,4.03,7.25,1.61,1.61,70.09,0,2.42,0.81,0,1.61,0,0,0,1.61,0,13.7,0,0,0.81,0,0
 48-58,0,0,639.79,2.87,0,114.76,1.72,58.53,2.3,28.69,0,0.57,1.15,1.15,1.15,0.57,1.72,1.15,1.72,49.35,7.46,1.15,7.46,298.38,1.15,1.15,1.72,0,14.35,0,0,0.57,1.15,0,55.09,0,0,1.72,0,7.46
 60-70,0,0,804.85,6.87,0,282.68,3.93,85.39,4.91,56.93,1.96,0,0.98,7.85,4.91,1.96,2.94,1.96,3.93,108.95,18.65,15.7,20.61,494.69,0.98,2.94,7.85,0,50.06,0,0,0,0.98,0,69.69,0.98,3.93,9.82,0.98,7.85
 72-82,0,1.96,859.94,46.14,1.96,437.82,3.93,87.37,20.61,107.98,10.8,0,3.93,7.85,9.82,3.93,19.63,6.87,5.89,272.9,23.56,36.32,26.5,826.56,4.91,14.72,14.72,2.94,76.57,0.98,0,2.94,2.94,0,66.75,7.85,9.82,30.43,12.76,20.61
 84-94,0,1.06,1639.79,40.36,1.06,299.49,4.25,181.61,13.81,77.53,13.81,1.06,9.56,13.81,22.3,6.37,12.74,7.43,6.37,213.47,30.8,31.86,24.43,434.37,2.12,7.43,16.99,3.19,229.4,0,0,7.43,5.31,0,44.61,9.56,10.62,24.43,8.5,7.43
 96-106,0,14.21,2124.49,168.3,34.97,633.85,20.76,224.03,27.32,202.18,61.2,0,14.21,83.06,37.16,19.67,26.23,52.46,5.46,538.77,55.74,38.25,81.96,1122.35,13.11,38.25,41.53,10.93,528.94,1.09,0,10.93,9.84,0,50.27,24.04,17.49,91.8,34.97,28.41
108-118,0,3.06,2227.42,76.6,42.89,455.75,14.55,329.36,29.87,158.55,36.77,0.77,9.96,42.13,34.47,21.45,26.81,32.17,5.36,435.07,36,28.34,65.87,1041.71,14.55,19.15,27.57,9.19,352.34,0,0,3.83,3.83,0,32.94,20.68,13.02,39.83,19.15,18.38
120,1.96,3.92,1808.88,80.35,21.56,319.45,19.6,246.93,17.64,115.63,37.24,0,13.72,47.03,25.48,9.8,9.8,37.24,3.92,293.97,27.44,29.4,50.95,915.22,11.76,13.72,25.48,9.8,262.61,0,0,5.88,1.96,0,29.4,5.88,17.64,37.24,25.48,17.64
